"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
11,"BROOKLYN","BOROUGH PARK",104458.3333,335341,16418150,0.311498842372391,0.00636236928642996
12,"BROOKLYN","BOROUGH PARK",40743.76771,334688,16418150,0.121736565726886,0.00248162964219477
13,"BROOKLYN","BOROUGH PARK",35933.77622,336911,16418150,0.106656583548771,0.0021886617079269
14,"BROOKLYN","BOROUGH PARK",34221.21019,341264,16418150,0.100277820660837,0.00208435238988558
15,"BROOKLYN","BOROUGH PARK",32449.77654,342436,16418150,0.0947615803829037,0.0019764575509421
16,"BROOKLYN","BOROUGH PARK",32391.57128,338920,16418150,0.0955729118376018,0.00197291237319674
17,"BROOKLYN","BOROUGH PARK",95900,341252,16418150,0.28102399399857,0.00584109659127246
18,"BROOKLYN","BOROUGH PARK",149160,330597,16418150,0.4511837675478,0.00908506744060689
19,"BROOKLYN","BOROUGH PARK",86230.76924,324318,16418150,0.265883389882769,0.00525216112899444
20,"BROOKLYN","BOROUGH PARK",103457.1429,324120,16418150,0.319193949463162,0.006301388579103
11,"BRONX","BRONX PARK AND FORDHAM",65347.36842,241007,11433860,0.271143030783338,0.00571525000481027
12,"BRONX","BRONX PARK AND FORDHAM",69874.5098,244435,11433860,0.285861312005237,0.00611119165356231
13,"BRONX","BRONX PARK AND FORDHAM",72119.04762,245435,11433860,0.293841740664534,0.00630749787210968
14,"BRONX","BRONX PARK AND FORDHAM",76537.14286,248210,11433860,0.308356403287539,0.00669390239691583
15,"BRONX","BRONX PARK AND FORDHAM",64405.9322,254745,11433860,0.2528251082455,0.00563291243726965
16,"BRONX","BRONX PARK AND FORDHAM",64428.47223,261147,11433860,0.246713430481683,0.00563488377765689
17,"BRONX","BRONX PARK AND FORDHAM",67803.75,265532,11433860,0.255350579214558,0.00593008397863889
18,"BRONX","BRONX PARK AND FORDHAM",56507.14286,266339,11433860,0.212162480372758,0.00494208804900532
19,"BRONX","BRONX PARK AND FORDHAM",57537.87878,265756,11433860,0.21650641483165,0.00503223572616772
20,"BRONX","BRONX PARK AND FORDHAM",56513.33333,265538,11433860,0.212825785123033,0.00494262946459026
11,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",162934.3923,208838,7962620,0.780195138336893,0.0204624096465736
12,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",139651.0446,213371,7962620,0.654498711633727,0.0175383284145168
13,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",107131.7073,218324,7962620,0.490700551931991,0.0134543287636481
14,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",174878.1316,222211,7962620,0.786991335262431,0.02196238569717
15,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",155321.9733,222360,7962620,0.698515800053967,0.0195063902710414
16,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",173569.8014,224198,7962620,0.774180864236077,0.0217980766883262
17,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",151496.277,224622,7962620,0.674449862435558,0.0190259332983365
18,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",171033.2433,221494,7962620,0.772180028804392,0.0214795184625161
19,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",182418.0504,220620,7962620,0.82684276312211,0.02290930000427
20,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",164208.8965,219953,7962620,0.746563568125918,0.0206224705561737
11,"BROOKLYN","CANARSIE AND FLATLANDS",37191.43647,202336,30337160,0.183810278299462,0.00122593665557356
12,"BROOKLYN","CANARSIE AND FLATLANDS",36266.43059,205324,30337160,0.17663025554733,0.00119544580277125
13,"BROOKLYN","CANARSIE AND FLATLANDS",29872.65734,204355,30337160,0.146180212571261,0.000984688657079305
14,"BROOKLYN","CANARSIE AND FLATLANDS",24926.56051,206267,30337160,0.120846090310132,0.000821651087643009
15,"BROOKLYN","CANARSIE AND FLATLANDS",23235.64246,207112,30337160,0.112188779307814,0.00076591356804658
16,"BROOKLYN","CANARSIE AND FLATLANDS",35190.84287,208063,30337160,0.16913551602159,0.00115999133966396
17,"BROOKLYN","CANARSIE AND FLATLANDS",28389.83051,211087,30337160,0.134493505095056,0.000935810422267608
18,"BROOKLYN","CANARSIE AND FLATLANDS",30463.73832,209241,30337160,0.145591630321017,0.0010041723852859
19,"BROOKLYN","CANARSIE AND FLATLANDS",33029.66418,207150,30337160,0.159448053005069,0.0010887526775743
20,"BROOKLYN","CANARSIE AND FLATLANDS",34723.18286,202025,30337160,0.171875673109764,0.00114457592141123
11,"BRONX","CENTRAL BRONX",51345.74468,203982,8528220,0.251717037189556,0.00602068716332365
12,"BRONX","CENTRAL BRONX",47545.19232,204565,8528220,0.232420953340014,0.00557504289523488
13,"BRONX","CENTRAL BRONX",63817.5,206159,8528220,0.309554761130972,0.00748309729345631
14,"BRONX","CENTRAL BRONX",48964.61539,208693,8528220,0.234625097104359,0.00574148126924493
15,"BRONX","CENTRAL BRONX",51847.5,213356,8528220,0.243009336507996,0.00607952186974539
16,"BRONX","CENTRAL BRONX",47631.50684,214792,8528220,0.221756428731051,0.00558516394276883
17,"BRONX","CENTRAL BRONX",58737.5,218672,8528220,0.268610064388673,0.00688742785716128
18,"BRONX","CENTRAL BRONX",60456.34921,213665,8528220,0.282949239276437,0.00708897627054649
19,"BRONX","CENTRAL BRONX",62052.94118,215970,8528220,0.287322040931611,0.00727618907345261
