Neighborhood,Zip,Population,Land Area sq. meter,,,,,,,,,,
NORTHEAST QUEENS,11361,"28,531","4,553,960",,,,,,,,,,
NORTHEAST QUEENS,11362,"18,694","6,518,630",,,,,,,,,,
NORTHEAST QUEENS,11363,"6,834","2,249,600",,,,,,,,,,
NORTHEAST QUEENS,11364,"35,866","6,386,920",,,,,,,,,,
NORTH QUEENS,11354,"52,351","5,612,650",,,,,,,,,,
NORTH QUEENS,11355,"81,358","4,493,720",,,,,,,,,,
NORTH QUEENS,11356,"24,178","4,069,870",,,,,,,,,,
NORTH QUEENS,11357,"40,118","7,256,740",,,,,,,,,,
NORTH QUEENS,11358,"36,665","5,048,950",,,,,,,,,,
NORTH QUEENS,11359,0,"636,668",,,,,,,,,,
NORTH QUEENS,11360,"18,892","3,691,090",,,,,,,,,,
CENTRAL QUEENS,11365,"43,730","6,466,310",,,,,,,,,,
CENTRAL QUEENS,11366,"14,109","2,835,020",,,,,,,,,,
CENTRAL QUEENS,11367,"40,141","6,162,140",,,,,,,,,,
JAMAICA,11412,"37,987","4,264,330",,,,,,,,,,
JAMAICA,11423,"29,532","3,654,230",,,,,,,,,,
JAMAICA,11432,"64,282","5,566,220",,,,,,,,,,
JAMAICA,11433,"36,929","4,019,550",,,,,,,,,,
JAMAICA,11434,"62,590","8,388,460",,,,,,,,,,
JAMAICA,11435,"59,392","3,922,760",,,,,,,,,,
JAMAICA,11436,"18,955","2,040,480",,,,,,,,,,
NORTHWEST QUEENS,"11,101","32,537","6,773,850",,,,,,,,,,
NORTHWEST QUEENS,11102,"28,359","2,092,160",,,,,,,,,,
NORTHWEST QUEENS,"11,103","35,419","1,841,680",,,,,,,,,,
NORTHWEST QUEENS,11104,"25,037","1,010,090",,,,,,,,,,
NORTHWEST QUEENS,"11,105","37,452","4,226,730",,,,,,,,,,
NORTHWEST QUEENS,11106,"37,094","2,219,780",,,,,,,,,,
WEST CENTRAL QUEENS,"11,374","43,173","2,419,930",,,,,,,,,,
WEST CENTRAL QUEENS,11375,"72,615","5,129,160",,,,,,,,,,
WEST CENTRAL QUEENS,"11,379","37,780","5,372,960",,,,,,,,,,
WEST CENTRAL QUEENS,11385,"105,025","9,357,000",,,,,,,,,,
ROCKAWAYS,"11,691","68,454","7,339,460",,,,,,,,,,
ROCKAWAYS,"11,692","22,394","2,586,420",,,,,,,,,,
ROCKAWAYS,"11,693","13,029","2,582,600",,,,,,,,,,
ROCKAWAYS,"11,694","21,258","3,537,000",,,,,,,,,,
ROCKAWAYS,"11,697","3,527","5,749,270",,,,,,,,,,
SOUTHEAST QUEENS,11004,"15,297","1,010,090",,,,,,,,,,
SOUTHEAST QUEENS,11005,"2,249","4,226,730",,,,,,,,,,
SOUTHEAST QUEENS,11411,"20,473","3,027,440",,,,,,,,,,
SOUTHEAST QUEENS,11413,"41,810","8,028,310",,,,,,,,,,
SOUTHEAST QUEENS,11422,"32,786","5,098,420",,,,,,,,,,
SOUTHEAST QUEENS,11426,"20,222","3,493,970",,,,,,,,,,
SOUTHEAST QUEENS,11427,"25,096","4,082,590",,,,,,,,,,
SOUTHEAST QUEENS,11428,"19,830","2,156,480",,,,,,,,,,
SOUTHEAST QUEENS,11429,"27,808","3,369,770",,,,,,,,,,
SOUTHWEST QUEENS,11414,"27,672","5,956,110",,,,,,,,,,
SOUTHWEST QUEENS,11415,"18,464","1,471,500",,,,,,,,,,
SOUTHWEST QUEENS,11416,"26,087","1,724,070",,,,,,,,,,
SOUTHWEST QUEENS,11417,"31,156","2,898,290",,,,,,,,,,
SOUTHWEST QUEENS,11418,"37,666","4,229,580",,,,,,,,,,
SOUTHWEST QUEENS,11419,"47,955","2,924,900",,,,,,,,,,
SOUTHWEST QUEENS,11420,"47,266","5,382,010",,,,,,,,,,
SOUTHWEST QUEENS,11421,"39,654","3,336,080",,,,,,,,,,
WEST QUEENS,11368,"108,661","6,816,710",,,,,,,,,,
WEST QUEENS,11369,"30,693","2,765,090",,,,,,,,,,
WEST QUEENS,11370,"29,366","3,684,370",,,,,,,,,,
WEST QUEENS,11372,"63,107","1,909,990",,,,,,,,,,
WEST QUEENS,11373,"96,495","3,956,010",,,,,,,,,,
WEST QUEENS,11377,"82,021","6,595,690",,,,,,,,,,
WEST QUEENS,11378,"39,033","6,614,590",,,,,,,,,,
