Neighborhood,Zip,Population,Land Area sq. meter,,,,,,,,,,,,,,,,,,,,,
CENTRAL BROOKLYN,11212,"74,037","3,983,220",,,,,,,,,,,,,,,,,,,,,
CENTRAL BROOKLYN,11213,"67,382","2,825,710",,,,,,,,,,,,,,,,,,,,,
CENTRAL BROOKLYN,11216,"59,567","2,422,750",,,,,,,,,,,,,,,,,,,,,
CENTRAL BROOKLYN,11233,"79,796","3,491,030",,,,,,,,,,,,,,,,,,,,,
CENTRAL BROOKLYN,11238,"55,102","2,863,620",,,,,,,,,,,,,,,,,,,,,
SOUTHWEST BROOKLYN,11209,"68,368","5,599,870",,,,,,,,,,,,,,,,,,,,,
SOUTHWEST BROOKLYN,11214,"90,372","5,658,760",,,,,,,,,,,,,,,,,,,,,
SOUTHWEST BROOKLYN,11228,"43,878","3,807,130",,,,,,,,,,,,,,,,,,,,,
BOROUGH PARK,11204,"75,840","4,115,360",,,,,,,,,,,,,,,,,,,,,
BOROUGH PARK,11218,"73,280","3,699,260",,,,,,,,,,,,,,,,,,,,,
BOROUGH PARK,11219,"87,812","3,838,520",,,,,,,,,,,,,,,,,,,,,
BOROUGH PARK,11230,"87,188","4,765,010",,,,,,,,,,,,,,,,,,,,,
CANARSIE AND FLATLANDS,11234,"90,372","19,547,800",,,,,,,,,,,,,,,,,,,,,
CANARSIE AND FLATLANDS,11236,"98,821","9,311,390",,,,,,,,,,,,,,,,,,,,,
CANARSIE AND FLATLANDS,11239,"12,832","1,477,970",,,,,,,,,,,,,,,,,,,,,
SOUTHERN BROOKLYN,11223,"80,500","5,372,270",,,,,,,,,,,,,,,,,,,,,
SOUTHERN BROOKLYN,11224,"45,587","3,999,170",,,,,,,,,,,,,,,,,,,,,
SOUTHERN BROOKLYN,11229,"81,909","5,611,290",,,,,,,,,,,,,,,,,,,,,
SOUTHERN BROOKLYN,11235,"76,921","5,816,300",,,,,,,,,,,,,,,,,,,,,
NORTHWEST BROOKLYN,11201,"64,798","3,680,350",,,,,,,,,,,,,,,,,,,,,
NORTHWEST BROOKLYN,11205,"47,866","2,459,480",,,,,,,,,,,,,,,,,,,,,
NORTHWEST BROOKLYN,11215,"69,995","5,641,350",,,,,,,,,,,,,,,,,,,,,
NORTHWEST BROOKLYN,11217,"42,461","1,944,330",,,,,,,,,,,,,,,,,,,,,
NORTHWEST BROOKLYN,11231,"37,796","3,683,320",,,,,,,,,,,,,,,,,,,,,
FLATBUSH,11203,"77,589","5,557,080",,,,,,,,,,,,,,,,,,,,,
FLATBUSH,11210,"62,423","4,250,380",,,,,,,,,,,,,,,,,,,,,
FLATBUSH,11225,"56,072","2,289,250",,,,,,,,,,,,,,,,,,,,,
FLATBUSH,11226,"96,332","3,339,500",,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AND NEW LOTS,11207,"90,867","6,917,450",,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AND NEW LOTS,11208,"102,626","8,951,520",,,,,,,,,,,,,,,,,,,,,
GREENPOINT,11211,"104,561","5,952,760",,,,,,,,,,,,,,,,,,,,,
GREENPOINT,11222,"36,710","3,947,640",,,,,,,,,,,,,,,,,,,,,
BUSHWICK AND WILLIAMSBURG,11220,"90,657","4,639,240",,,,,,,,,,,,,,,,,,,,,
BUSHWICK AND WILLIAMSBURG,11232,"26,501","3,323,380",,,,,,,,,,,,,,,,,,,,,
SUNSET PARK,11206,"87,599","3,715,220",,,,,,,,,,,,,,,,,,,,,
SUNSET PARK,11221,"85,582","3,582,800",,,,,,,,,,,,,,,,,,,,,
SUNSET PARK,11237,"46,772","2,537,580",,,,,,,,,,,,,,,,,,,,,
