"BBL","Borough","Zip","Month","Year","count"
1022150116,"BRONX",10463,"12","10",1
1022150535,"BRONX",10463,"08","10",1
2022610045,"BRONX",10454,"08","10",1
2022610047,"BRONX",10454,"07","10",1
2022650006,"BRONX",10454,"06","10",1
2022650006,"BRONX",10454,"07","10",1
2022650033,"BRONX",10454,"05","10",1
2022650033,"BRONX",10454,"10","10",1
2022660022,"BRONX",10454,"05","10",2
2022670003,"BRONX",10454,"08","10",1
2022670055,"BRONX",10454,"11","10",1
2022670065,"BRONX",10454,"06","10",1
2022670065,"BRONX",10454,"07","10",2
2022670065,"BRONX",10454,"08","10",2
2022680020,"BRONX",10454,"03","10",1
2022680021,"BRONX",10454,"04","10",1
2022740034,"BRONX",10455,"01","10",1
2022750038,"BRONX",10455,"06","10",1
2022750130,"BRONX",10455,"09","10",1
2022750132,"BRONX",10455,"09","10",1
2022800053,"BRONX",10454,"03","10",1
2022800075,"BRONX",10454,"09","10",1
2022800130,"BRONX",10454,"08","10",1
2022820045,"BRONX",10454,"10","10",1
2022880035,"BRONX",10454,"04","10",1
2022880065,"BRONX",10454,"07","10",1
2022890155,"BRONX",10454,"05","10",1
2022920032,"BRONX",10455,"04","10",1
2022940002,"BRONX",10455,"03","10",1
2023010011,"BRONX",10454,"04","10",1
2023010011,"BRONX",10454,"06","10",1
2023010021,"BRONX",10454,"08","10",1
2023010044,"BRONX",10454,"09","10",2
2023030016,"BRONX",10454,"11","10",1
2023070016,"BRONX",10455,"08","10",1
2023140022,"BRONX",10454,"12","10",1
2023270039,"BRONX",10455,"05","10",1
2023270039,"BRONX",10455,"10","10",2
2023300051,"BRONX",10451,"06","10",1
2023300051,"BRONX",10451,"08","10",1
2023310007,"BRONX",10451,"03","10",1
2023310007,"BRONX",10451,"06","10",1
2023330054,"BRONX",10451,"03","10",1
2023480053,"BRONX",10451,"06","10",1
2023480053,"BRONX",10451,"08","10",1
2023480053,"BRONX",10451,"09","10",1
2023590210,"BRONX",10455,"05","10",1
2023670018,"BRONX",10451,"04","10",1
2023690062,"BRONX",10456,"09","10",1
2023720007,"BRONX",10456,"10","10",1
2023730021,"BRONX",10456,"04","10",1
2023730023,"BRONX",10456,"02","10",1
2023740104,"BRONX",10455,"10","10",1
2023740180,"BRONX",10455,"07","10",1
2023750015,"BRONX",10455,"10","10",1
2023760035,"BRONX",10455,"01","10",1
2023770018,"BRONX",10455,"10","10",1
2023780029,"BRONX",10451,"05","10",1
2023790028,"BRONX",10451,"09","10",1
2023790051,"BRONX",10451,"07","10",1
2023800051,"BRONX",10451,"07","10",1
2023820014,"BRONX",10451,"03","10",1
2023820014,"BRONX",10451,"05","10",2
2023820014,"BRONX",10451,"08","10",1
2023827501,"BRONX",10451,"05","10",3
2023827501,"BRONX",10451,"09","10",1
2023827501,"BRONX",10451,"10","10",1
2023830005,"BRONX",10451,"05","10",1
2023830018,"BRONX",10451,"08","10",1
2023890051,"BRONX",10456,"02","10",1
2023890051,"BRONX",10456,"03","10",1
2023890051,"BRONX",10456,"06","10",1
2023890051,"BRONX",10456,"07","10",1
2023890051,"BRONX",10456,"12","10",1
2023930006,"BRONX",10456,"10","10",1
2023940029,"BRONX",10456,"10","10",1
2023990020,"BRONX",10455,"02","10",1
2024000009,"BRONX",10451,"04","10",1
2024020001,"BRONX",10451,"11","10",2
2024060003,"BRONX",10451,"09","10",1
2024060104,"BRONX",10451,"02","10",1
2024070023,"BRONX",10451,"11","10",1
2024099059,"BRONX",10451,"11","10",1
2024100008,"BRONX",10451,"09","10",1
2024100009,"BRONX",10451,"12","10",1
2024100039,"BRONX",10451,"05","10",1
2024100039,"BRONX",10451,"08","10",1
2024100052,"BRONX",10451,"07","10",1
2024180008,"BRONX",10451,"07","10",1
2024200040,"BRONX",10451,"09","10",1
2024220054,"BRONX",10451,"03","10",1
2024220054,"BRONX",10451,"12","10",1
2024240086,"BRONX",10451,"04","10",3
2024240086,"BRONX",10451,"07","10",2
2024240086,"BRONX",10451,"11","10",1
2024240110,"BRONX",10451,"03","10",1
2024240110,"BRONX",10451,"06","10",3
2024240110,"BRONX",10451,"07","10",3
2024240110,"BRONX",10451,"09","10",1
2024250007,"BRONX",10456,"12","10",1
2024260002,"BRONX",10456,"10","10",1
2024260012,"BRONX",10456,"03","10",1
2024260056,"BRONX",10456,"12","10",1
2024260062,"BRONX",10456,"08","10",1
2024270045,"BRONX",10456,"07","10",1
2024270045,"BRONX",10456,"10","10",1
2024280030,"BRONX",10456,"05","10",1
2024280034,"BRONX",10456,"01","10",1
2024290028,"BRONX",10456,"04","10",1
2024310001,"BRONX",10456,"07","10",1
2024310026,"BRONX",10456,"03","10",2
2024310026,"BRONX",10456,"04","10",1
2024310026,"BRONX",10456,"08","10",1
2024310026,"BRONX",10456,"10","10",1
2024320040,"BRONX",10456,"07","10",1
2024320053,"BRONX",10456,"06","10",1
2024320088,"BRONX",10456,"09","10",1
2024330048,"BRONX",10456,"12","10",1
2024330054,"BRONX",10456,"06","10",1
2024330054,"BRONX",10456,"11","10",1
2024330062,"BRONX",10456,"01","10",1
2024330062,"BRONX",10456,"04","10",1
2024330076,"BRONX",10456,"02","10",1
2024340057,"BRONX",10456,"02","10",1
2024350007,"BRONX",10456,"10","10",1
2024350118,"BRONX",10456,"08","10",1
2024360079,"BRONX",10456,"03","10",1
2024360079,"BRONX",10456,"04","10",1
2024360079,"BRONX",10456,"09","10",1
2024360080,"BRONX",10456,"07","10",1
2024370006,"BRONX",10456,"07","10",1
2024380080,"BRONX",10456,"07","10",1
2024390057,"BRONX",10456,"05","10",1
2024390059,"BRONX",10456,"10","10",1
2024400001,"BRONX",10451,"03","10",1
2024410001,"BRONX",10451,"08","10",1
2024430042,"BRONX",10451,"07","10",1
2024430100,"BRONX",10451,"07","10",4
2024430100,"BRONX",10451,"08","10",2
2024460015,"BRONX",10456,"01","10",1
2024460021,"BRONX",10456,"04","10",2
2024460031,"BRONX",10456,"04","10",1
2024460031,"BRONX",10456,"06","10",1
2024470030,"BRONX",10456,"06","10",1
2024480012,"BRONX",10456,"03","10",1
2024480012,"BRONX",10456,"07","10",1
2024490010,"BRONX",10456,"03","10",1
2024490068,"BRONX",10456,"08","10",1
2024490072,"BRONX",10456,"04","10",1
2024490072,"BRONX",10456,"08","10",1
2024500001,"BRONX",10456,"06","10",1
2024500038,"BRONX",10456,"03","10",1
2024500052,"BRONX",10456,"02","10",5
2024520054,"BRONX",10456,"06","10",1
2024520079,"BRONX",10456,"03","10",1
2024530030,"BRONX",10456,"08","10",1
2024550028,"BRONX",10456,"01","10",1
2024560008,"BRONX",10456,"09","10",1
2024560032,"BRONX",10456,"03","10",1
2024560032,"BRONX",10456,"09","10",1
2024560055,"BRONX",10456,"04","10",1
2024560088,"BRONX",10456,"09","10",1
2024560088,"BRONX",10456,"10","10",1
2024560088,"BRONX",10456,"12","10",1
2024560150,"BRONX",10456,"04","10",1
2024560150,"BRONX",10456,"07","10",1
2024560163,"BRONX",10456,"02","10",1
2024560163,"BRONX",10456,"09","10",1
2024560163,"BRONX",10456,"12","10",1
2024560210,"BRONX",10456,"08","10",1
2024570001,"BRONX",10456,"12","10",1
