"BBL","Borough","Zip","Month","Year","count"
2026050040,"QUEENS",11370,"03","10",1
4000290017,"QUEENS",11101,"04","10",1
4000300009,"QUEENS",11101,"07","10",2
4000300009,"QUEENS",11101,"11","10",1
4000300037,"QUEENS",11101,"08","10",1
4000300038,"QUEENS",11101,"06","10",1
4000300038,"QUEENS",11101,"08","10",1
4000300039,"QUEENS",11101,"07","10",1
4000300039,"QUEENS",11101,"08","10",1
4000300040,"QUEENS",11101,"08","10",1
4000520035,"QUEENS",11101,"04","10",1
4000520035,"QUEENS",11101,"05","10",1
4000520035,"QUEENS",11101,"09","10",1
4000520036,"QUEENS",11101,"05","10",1
4000520038,"QUEENS",11101,"05","10",1
4000520041,"QUEENS",11101,"07","10",1
4000520042,"QUEENS",11101,"08","10",1
4000540006,"QUEENS",11101,"06","10",1
4000540013,"QUEENS",11101,"04","10",1
4000760036,"QUEENS",11101,"06","10",2
4000760036,"QUEENS",11101,"11","10",1
4000760046,"QUEENS",11101,"07","10",1
4000770052,"QUEENS",11101,"03","10",2
4000770052,"QUEENS",11101,"04","10",1
4000770055,"QUEENS",11101,"03","10",1
4000840046,"QUEENS",11101,"01","10",1
4000850048,"QUEENS",11101,"07","10",1
4000850149,"QUEENS",11101,"03","10",1
4000850149,"QUEENS",11101,"08","10",1
4000860001,"QUEENS",11101,"11","10",1
4001200028,"QUEENS",11101,"09","10",1
4001350008,"QUEENS",11104,"06","10",1
4001350012,"QUEENS",11104,"07","10",1
4001360039,"QUEENS",11104,"10","10",1
4001400040,"QUEENS",11104,"11","10",1
4001570040,"QUEENS",11104,"10","10",1
4001640001,"QUEENS",11104,"09","10",1
4001840029,"QUEENS",11104,"01","10",1
4001840029,"QUEENS",11104,"10","10",1
4001950007,"QUEENS",11104,"06","10",1
4001950013,"QUEENS",11104,"02","10",1
4001950013,"QUEENS",11104,"09","10",1
4001980037,"QUEENS",11104,"04","10",1
4002000030,"QUEENS",11104,"07","10",1
4002000030,"QUEENS",11104,"10","10",1
4002150001,"QUEENS",11101,"08","10",2
4002170005,"QUEENS",11101,"08","10",1
4002560014,"QUEENS",11101,"08","10",1
4002670009,"QUEENS",11101,"09","10",1
4002730001,"QUEENS",11101,"09","10",1
4003190003,"QUEENS",11106,"11","10",1
4003230002,"QUEENS",11106,"04","10",2
4003230003,"QUEENS",11106,"03","10",1
4003230003,"QUEENS",11106,"06","10",1
4003230052,"QUEENS",11106,"04","10",1
4003240016,"QUEENS",11106,"01","10",1
4003250028,"QUEENS",11106,"08","10",1
4003290050,"QUEENS",11106,"04","10",1
4003300051,"QUEENS",11106,"09","10",1
4003300052,"QUEENS",11106,"09","10",1
4003350002,"QUEENS",11106,"04","10",1
4003700032,"QUEENS",11101,"10","10",1
4003840015,"QUEENS",11101,"07","10",1
4004060012,"QUEENS",11101,"05","10",1
4004650001,"QUEENS",11101,"04","10",1
4004650100,"QUEENS",11101,"07","10",1
4004650100,"QUEENS",11101,"08","10",1
4004700001,"QUEENS",11101,"09","10",2
4005170035,"QUEENS",11102,"05","10",1
4005500010,"QUEENS",11102,"01","10",1
4005910023,"QUEENS",11102,"05","10",1
4006040020,"QUEENS",11106,"02","10",1
4006040020,"QUEENS",11106,"11","10",1
4006060029,"QUEENS",11106,"09","10",1
4006140035,"QUEENS",11106,"08","10",1
4006260007,"QUEENS",11103,"09","10",1
4006330140,"QUEENS",11103,"10","10",1
4006550018,"QUEENS",11103,"11","10",1
4006560035,"QUEENS",11103,"01","10",1
