"BBL","Borough","Zip","Month","Year","count","Neighborhood"
3011210042,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3011220049,"BROOKLYN",11238,"02","2010",1,"CENTRAL BROOKLYN"
3011320070,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011330032,"BROOKLYN",11238,"12","2010",1,"CENTRAL BROOKLYN"
3011360049,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011377501,"BROOKLYN",11238,"10","2010",1,"CENTRAL BROOKLYN"
3011490083,"BROOKLYN",11238,"03","2010",4,"CENTRAL BROOKLYN"
3011500045,"BROOKLYN",11238,"01","2010",1,"CENTRAL BROOKLYN"
3011510087,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011520087,"BROOKLYN",11238,"06","2010",1,"CENTRAL BROOKLYN"
3011550081,"BROOKLYN",11238,"08","2010",1,"CENTRAL BROOKLYN"
3011550086,"BROOKLYN",11238,"09","2010",1,"CENTRAL BROOKLYN"
3011590036,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011600043,"BROOKLYN",11238,"05","2010",1,"CENTRAL BROOKLYN"
3011600044,"BROOKLYN",11238,"01","2010",2,"CENTRAL BROOKLYN"
3011600045,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011620027,"BROOKLYN",11238,"11","2010",1,"CENTRAL BROOKLYN"
3011640025,"BROOKLYN",11238,"10","2010",1,"CENTRAL BROOKLYN"
3011640181,"BROOKLYN",11238,"06","2010",1,"CENTRAL BROOKLYN"
3011680020,"BROOKLYN",11238,"10","2010",1,"CENTRAL BROOKLYN"
3011680034,"BROOKLYN",11238,"03","2010",1,"CENTRAL BROOKLYN"
3011690001,"BROOKLYN",11238,"09","2010",1,"CENTRAL BROOKLYN"
3011690009,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011690009,"BROOKLYN",11238,"05","2010",1,"CENTRAL BROOKLYN"
3011690019,"BROOKLYN",11238,"01","2010",1,"CENTRAL BROOKLYN"
3011690019,"BROOKLYN",11238,"06","2010",1,"CENTRAL BROOKLYN"
3011690019,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3011690024,"BROOKLYN",11238,"11","2010",1,"CENTRAL BROOKLYN"
3011710019,"BROOKLYN",11238,"08","2010",1,"CENTRAL BROOKLYN"
3011710019,"BROOKLYN",11238,"09","2010",1,"CENTRAL BROOKLYN"
3011710019,"BROOKLYN",11238,"10","2010",1,"CENTRAL BROOKLYN"
3011710052,"BROOKLYN",11238,"05","2010",1,"CENTRAL BROOKLYN"
3011710052,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3011710052,"BROOKLYN",11238,"09","2010",1,"CENTRAL BROOKLYN"
3011710052,"BROOKLYN",11238,"11","2010",1,"CENTRAL BROOKLYN"
3011710052,"BROOKLYN",11238,"12","2010",1,"CENTRAL BROOKLYN"
3011720006,"BROOKLYN",11238,"06","2010",1,"CENTRAL BROOKLYN"
3011730025,"BROOKLYN",11238,"08","2010",1,"CENTRAL BROOKLYN"
3011730055,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011730055,"BROOKLYN",11238,"05","2010",1,"CENTRAL BROOKLYN"
3011730055,"BROOKLYN",11238,"08","2010",1,"CENTRAL BROOKLYN"
3011730055,"BROOKLYN",11238,"09","2010",4,"CENTRAL BROOKLYN"
3011750026,"BROOKLYN",11238,"04","2010",1,"CENTRAL BROOKLYN"
3011750045,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3011770034,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3011770034,"BROOKLYN",11238,"08","2010",1,"CENTRAL BROOKLYN"
3011790097,"BROOKLYN",11238,"09","2010",1,"CENTRAL BROOKLYN"
3011800001,"BROOKLYN",11238,"03","2010",1,"CENTRAL BROOKLYN"
3012080036,"BROOKLYN",11216,"07","2010",1,"CENTRAL BROOKLYN"
3012100010,"BROOKLYN",11213,"04","2010",1,"CENTRAL BROOKLYN"
3012120042,"BROOKLYN",11216,"12","2010",1,"CENTRAL BROOKLYN"
3012120056,"BROOKLYN",11216,"07","2010",1,"CENTRAL BROOKLYN"
3012120059,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012120065,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012140047,"BROOKLYN",11216,"09","2010",1,"CENTRAL BROOKLYN"
3012150041,"BROOKLYN",11213,"04","2010",1,"CENTRAL BROOKLYN"
3012150041,"BROOKLYN",11213,"05","2010",1,"CENTRAL BROOKLYN"
3012150054,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3012170056,"BROOKLYN",11216,"09","2010",1,"CENTRAL BROOKLYN"
3012210001,"BROOKLYN",11213,"09","2010",1,"CENTRAL BROOKLYN"
3012210053,"BROOKLYN",11213,"05","2010",1,"CENTRAL BROOKLYN"
3012220038,"BROOKLYN",11213,"03","2010",2,"CENTRAL BROOKLYN"
3012230013,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3012240067,"BROOKLYN",11216,"11","2010",1,"CENTRAL BROOKLYN"
3012250013,"BROOKLYN",11216,"06","2010",1,"CENTRAL BROOKLYN"
3012260040,"BROOKLYN",11216,"01","2010",1,"CENTRAL BROOKLYN"
3012260151,"BROOKLYN",11216,"01","2010",1,"CENTRAL BROOKLYN"
3012300025,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3012320001,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012340005,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012340048,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012370012,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3012370081,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3012380046,"BROOKLYN",11216,"12","2010",1,"CENTRAL BROOKLYN"
3012380058,"BROOKLYN",11216,"06","2010",1,"CENTRAL BROOKLYN"
3012390021,"BROOKLYN",11216,"08","2010",1,"CENTRAL BROOKLYN"
3012390022,"BROOKLYN",11216,"08","2010",1,"CENTRAL BROOKLYN"
3012390027,"BROOKLYN",11216,"03","2010",1,"CENTRAL BROOKLYN"
3012400021,"BROOKLYN",11216,"01","2010",1,"CENTRAL BROOKLYN"
3012410021,"BROOKLYN",11216,"04","2010",2,"CENTRAL BROOKLYN"
3012410021,"BROOKLYN",11216,"07","2010",1,"CENTRAL BROOKLYN"
3012410057,"BROOKLYN",11216,"11","2010",1,"CENTRAL BROOKLYN"
3012410067,"BROOKLYN",11216,"04","2010",1,"CENTRAL BROOKLYN"
3012410073,"BROOKLYN",11216,"01","2010",1,"CENTRAL BROOKLYN"
3012430065,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3012440044,"BROOKLYN",11213,"10","2010",1,"CENTRAL BROOKLYN"
3012440044,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3012450002,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3012450081,"BROOKLYN",11216,"10","2010",1,"CENTRAL BROOKLYN"
3012520077,"BROOKLYN",11216,"10","2010",1,"CENTRAL BROOKLYN"
3012530033,"BROOKLYN",11216,"11","2010",1,"CENTRAL BROOKLYN"
3012530038,"BROOKLYN",11216,"08","2010",2,"CENTRAL BROOKLYN"
3012540015,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012580066,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3012590045,"BROOKLYN",11216,"03","2010",1,"CENTRAL BROOKLYN"
3012590056,"BROOKLYN",11216,"04","2010",1,"CENTRAL BROOKLYN"
3012590151,"BROOKLYN",11216,"04","2010",1,"CENTRAL BROOKLYN"
3012640016,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3012640071,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3012640073,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
