"numRats","Neighborhood","Year"
170882.432432432,"CENTRAL BROOKLYN",2011
214351.020408163,"CENTRAL BROOKLYN",2012
166258.407079646,"CENTRAL BROOKLYN",2013
174346.341463415,"CENTRAL BROOKLYN",2014
205610.447761194,"CENTRAL BROOKLYN",2015
178275.471698113,"CENTRAL BROOKLYN",2016
222556.444444444,"CENTRAL BROOKLYN",2017
233694.285714286,"CENTRAL BROOKLYN",2018
265145.581395349,"CENTRAL BROOKLYN",2019
261733.333333333,"CENTRAL BROOKLYN",2020
315294.565217391,"CENTRAL BROOKLYN",2021
43166.6666666667,"SOUTHWEST BROOKLYN",2011
40000,"SOUTHWEST BROOKLYN",2012
27500,"SOUTHWEST BROOKLYN",2013
24750,"SOUTHWEST BROOKLYN",2014
13745.4545454545,"SOUTHWEST BROOKLYN",2015
11792.3076923077,"SOUTHWEST BROOKLYN",2016
18771.4285714286,"SOUTHWEST BROOKLYN",2017
31418.1818181818,"SOUTHWEST BROOKLYN",2018
49745.4545454545,"SOUTHWEST BROOKLYN",2019
50730,"SOUTHWEST BROOKLYN",2020
51012.1951219512,"SOUTHWEST BROOKLYN",2021
101587.5,"BOROUGH PARK",2011
97671.4285714286,"BOROUGH PARK",2012
90983.3333333333,"BOROUGH PARK",2013
50563.6363636364,"BOROUGH PARK",2014
59400,"BOROUGH PARK",2015
77000,"BOROUGH PARK",2016
61031.25,"BOROUGH PARK",2017
156937.5,"BOROUGH PARK",2018
67500,"BOROUGH PARK",2019
84375,"BOROUGH PARK",2020
137760,"BOROUGH PARK",2021
76300,"CANARSIE AND FLATLANDS",2011
142100,"CANARSIE AND FLATLANDS",2012
75690,"CANARSIE AND FLATLANDS",2013
59450,"CANARSIE AND FLATLANDS",2014
67357.1428571429,"CANARSIE AND FLATLANDS",2015
87071.4285714286,"CANARSIE AND FLATLANDS",2016
46884.6153846154,"CANARSIE AND FLATLANDS",2017
54886.3636363636,"CANARSIE AND FLATLANDS",2018
66675,"CANARSIE AND FLATLANDS",2019
50800,"CANARSIE AND FLATLANDS",2020
44521.7391304348,"CANARSIE AND FLATLANDS",2021
87659.0909090909,"SOUTHERN BROOKLYN",2011
44202.9411764706,"SOUTHERN BROOKLYN",2012
89693.75,"SOUTHERN BROOKLYN",2013
70427.2727272727,"SOUTHERN BROOKLYN",2014
41036.3636363636,"SOUTHERN BROOKLYN",2015
72942.8571428571,"SOUTHERN BROOKLYN",2016
49500,"SOUTHERN BROOKLYN",2017
59971.1538461538,"SOUTHERN BROOKLYN",2018
61129.6875,"SOUTHERN BROOKLYN",2019
48990,"SOUTHERN BROOKLYN",2020
80145.7627118644,"SOUTHERN BROOKLYN",2021
115741.666666667,"NORTHWEST BROOKLYN",2011
131591.025641026,"NORTHWEST BROOKLYN",2012
123092.682926829,"NORTHWEST BROOKLYN",2013
112305.882352941,"NORTHWEST BROOKLYN",2014
133500,"NORTHWEST BROOKLYN",2015
171588.983050847,"NORTHWEST BROOKLYN",2016
121187.5,"NORTHWEST BROOKLYN",2017
157925.974025974,"NORTHWEST BROOKLYN",2018
153167.582417582,"NORTHWEST BROOKLYN",2019
171674.778761062,"NORTHWEST BROOKLYN",2020
206754.516129032,"NORTHWEST BROOKLYN",2021
76107.6923076923,"FLATBUSH",2011
84961.6071428571,"FLATBUSH",2012
58030.985915493,"FLATBUSH",2013
60179.1044776119,"FLATBUSH",2014
83878.7878787879,"FLATBUSH",2015
86111.2359550562,"FLATBUSH",2016
78484.2519685039,"FLATBUSH",2017
91636.3636363636,"FLATBUSH",2018
82955.9322033898,"FLATBUSH",2019
80704.0322580645,"FLATBUSH",2020
110151.898734177,"FLATBUSH",2021
73986.4864864865,"EAST NEW YORK AND NEW LOTS",2011
124484.210526316,"EAST NEW YORK AND NEW LOTS",2012
151200,"EAST NEW YORK AND NEW LOTS",2013
80062.5,"EAST NEW YORK AND NEW LOTS",2014
108405.714285714,"EAST NEW YORK AND NEW LOTS",2015
88440.625,"EAST NEW YORK AND NEW LOTS",2016
79625,"EAST NEW YORK AND NEW LOTS",2017
110250,"EAST NEW YORK AND NEW LOTS",2018
108616.666666667,"EAST NEW YORK AND NEW LOTS",2019
120750,"EAST NEW YORK AND NEW LOTS",2020
143462.5,"EAST NEW YORK AND NEW LOTS",2021
64533.3333333333,"GREENPOINT",2011
52123.0769230769,"GREENPOINT",2012
40964,"GREENPOINT",2013
75228.125,"GREENPOINT",2014
61087.5,"GREENPOINT",2015
50190,"GREENPOINT",2016
70085.1351351351,"GREENPOINT",2017
96203.3333333333,"GREENPOINT",2018
63060.3448275862,"GREENPOINT",2019
67222.2222222222,"GREENPOINT",2020
67670.8860759494,"GREENPOINT",2021
127682.926829268,"BUSHWICK AND WILLIAMSBURG",2011
99642.0289855072,"BUSHWICK AND WILLIAMSBURG",2012
119788.709677419,"BUSHWICK AND WILLIAMSBURG",2013
144653.260869565,"BUSHWICK AND WILLIAMSBURG",2014
121974.107142857,"BUSHWICK AND WILLIAMSBURG",2015
138088.636363636,"BUSHWICK AND WILLIAMSBURG",2016
125265.957446809,"BUSHWICK AND WILLIAMSBURG",2017
104867.256637168,"BUSHWICK AND WILLIAMSBURG",2018
141642.352941176,"BUSHWICK AND WILLIAMSBURG",2019
124847.457627119,"BUSHWICK AND WILLIAMSBURG",2020
143585.365853659,"BUSHWICK AND WILLIAMSBURG",2021
30750,"SUNSET PARK",2011
23000,"SUNSET PARK",2012
69000,"SUNSET PARK",2013
33750,"SUNSET PARK",2014
8700,"SUNSET PARK",2015
26680,"SUNSET PARK",2016
19837.5,"SUNSET PARK",2017
24396.4285714286,"SUNSET PARK",2018
40920,"SUNSET PARK",2019
54312,"SUNSET PARK",2020
61370.9302325581,"SUNSET PARK",2021
