"BBL","Borough","Zip","Month","Year","count","Neighborhood"
1015940040,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1015990003,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1016010027,"MANHATTAN",10026,"02","2010",1,"CENTRAL HARLEM"
1017170048,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1017170054,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1017170056,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1017170056,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1017170056,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1017170057,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1017170152,"MANHATTAN",10026,"03","2010",3,"CENTRAL HARLEM"
1017170152,"MANHATTAN",10026,"04","2010",1,"CENTRAL HARLEM"
1017170152,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1017180025,"MANHATTAN",10026,"05","2010",1,"CENTRAL HARLEM"
1017180025,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1017180025,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1017180025,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1017180027,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1017180027,"MANHATTAN",10026,"12","2010",1,"CENTRAL HARLEM"
1017180037,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1017210004,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1017210056,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1017220057,"MANHATTAN",10027,"05","2010",2,"CENTRAL HARLEM"
1017240009,"MANHATTAN",10027,"03","2010",2,"CENTRAL HARLEM"
1017240016,"MANHATTAN",10027,"02","2010",1,"CENTRAL HARLEM"
1017250009,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1017250009,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1017280050,"MANHATTAN",10037,"05","2010",2,"CENTRAL HARLEM"
1017287501,"MANHATTAN",10037,"05","2010",1,"CENTRAL HARLEM"
1017287501,"MANHATTAN",10037,"06","2010",1,"CENTRAL HARLEM"
1017290034,"MANHATTAN",10037,"10","2010",1,"CENTRAL HARLEM"
1017550025,"MANHATTAN",10037,"07","2010",1,"CENTRAL HARLEM"
1017560006,"MANHATTAN",10037,"11","2010",1,"CENTRAL HARLEM"
1017560030,"MANHATTAN",10037,"01","2010",1,"CENTRAL HARLEM"
1017560061,"MANHATTAN",10037,"04","2010",1,"CENTRAL HARLEM"
1017600101,"MANHATTAN",10037,"08","2010",1,"CENTRAL HARLEM"
1017790007,"MANHATTAN",10037,"03","2010",2,"CENTRAL HARLEM"
1017790007,"MANHATTAN",10037,"07","2010",1,"CENTRAL HARLEM"
1017790007,"MANHATTAN",10037,"10","2010",1,"CENTRAL HARLEM"
1018200017,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1018210046,"MANHATTAN",10026,"12","2010",1,"CENTRAL HARLEM"
1018220001,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1018220017,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1018230007,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1018230018,"MANHATTAN",10026,"09","2010",6,"CENTRAL HARLEM"
1018230018,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018230056,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018230056,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1018230058,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018240016,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018250041,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018250063,"MANHATTAN",10026,"01","2010",1,"CENTRAL HARLEM"
1018280034,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1018290015,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018290015,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1018290017,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1018290033,"MANHATTAN",10026,"05","2010",1,"CENTRAL HARLEM"
1018290033,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018290039,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1018300019,"MANHATTAN",10026,"05","2010",1,"CENTRAL HARLEM"
1018300036,"MANHATTAN",10026,"04","2010",1,"CENTRAL HARLEM"
1018300036,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1018300052,"MANHATTAN",10026,"07","2010",2,"CENTRAL HARLEM"
1018300052,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018300052,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018300052,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1018300053,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018300059,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018307501,"MANHATTAN",10026,"06","2010",3,"CENTRAL HARLEM"
1018307503,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018310001,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1018310001,"MANHATTAN",10026,"07","2010",3,"CENTRAL HARLEM"
1018310008,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018310009,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1018310009,"MANHATTAN",10026,"07","2010",2,"CENTRAL HARLEM"
1018310009,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018310019,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018310020,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018310025,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1018310029,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1018310033,"MANHATTAN",10026,"05","2010",1,"CENTRAL HARLEM"
1018310040,"MANHATTAN",10026,"12","2010",1,"CENTRAL HARLEM"
1018310053,"MANHATTAN",10026,"12","2010",1,"CENTRAL HARLEM"
1018317502,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018317502,"MANHATTAN",10026,"10","2010",1,"CENTRAL HARLEM"
1018460054,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018460057,"MANHATTAN",10026,"02","2010",1,"CENTRAL HARLEM"
1018470063,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1018470068,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1018860001,"MANHATTAN",10027,"03","2010",2,"CENTRAL HARLEM"
1019010001,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1019010021,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1019020107,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1019030013,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1019060004,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019060006,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1019060061,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019060061,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019070005,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019070005,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019070018,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019080037,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019080051,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019080054,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019110150,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019120054,"MANHATTAN",10027,"05","2010",1,"CENTRAL HARLEM"
1019130056,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019130056,"MANHATTAN",10027,"05","2010",1,"CENTRAL HARLEM"
1019130058,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019130061,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019140014,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1019140017,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1019160008,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1019160017,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019160021,"MANHATTAN",10027,"05","2010",1,"CENTRAL HARLEM"
1019160052,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019170001,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019170001,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019170002,"MANHATTAN",10027,"05","2010",2,"CENTRAL HARLEM"
1019170004,"MANHATTAN",10027,"08","2010",3,"CENTRAL HARLEM"
1019170028,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1019170053,"MANHATTAN",10030,"02","2010",1,"CENTRAL HARLEM"
1019180036,"MANHATTAN",10030,"08","2010",2,"CENTRAL HARLEM"
1019190002,"MANHATTAN",10030,"04","2010",1,"CENTRAL HARLEM"
1019197501,"MANHATTAN",10030,"08","2010",1,"CENTRAL HARLEM"
1019200015,"MANHATTAN",10030,"09","2010",1,"CENTRAL HARLEM"
1019200015,"MANHATTAN",10030,"10","2010",1,"CENTRAL HARLEM"
1019200017,"MANHATTAN",10030,"07","2010",1,"CENTRAL HARLEM"
1019200023,"MANHATTAN",10030,"08","2010",2,"CENTRAL HARLEM"
1019200147,"MANHATTAN",10030,"04","2010",1,"CENTRAL HARLEM"
1019210001,"MANHATTAN",10030,"02","2010",2,"CENTRAL HARLEM"
1019210001,"MANHATTAN",10030,"05","2010",1,"CENTRAL HARLEM"
1019210001,"MANHATTAN",10030,"08","2010",1,"CENTRAL HARLEM"
1019210001,"MANHATTAN",10030,"09","2010",1,"CENTRAL HARLEM"
1019210001,"MANHATTAN",10030,"10","2010",1,"CENTRAL HARLEM"
1019210001,"MANHATTAN",10030,"11","2010",1,"CENTRAL HARLEM"
1019210055,"MANHATTAN",10030,"08","2010",1,"CENTRAL HARLEM"
1019210055,"MANHATTAN",10030,"12","2010",1,"CENTRAL HARLEM"
1019220020,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1019220020,"MANHATTAN",10026,"10","2010",2,"CENTRAL HARLEM"
1019240021,"MANHATTAN",10026,"04","2010",1,"CENTRAL HARLEM"
1019240021,"MANHATTAN",10026,"12","2010",1,"CENTRAL HARLEM"
1019240036,"MANHATTAN",10026,"01","2010",1,"CENTRAL HARLEM"
1019250061,"MANHATTAN",10027,"05","2010",1,"CENTRAL HARLEM"
1019260029,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019290001,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019290023,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1019300001,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019300053,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1019310012,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019310021,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019320029,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019380044,"MANHATTAN",10030,"07","2010",1,"CENTRAL HARLEM"
1019380044,"MANHATTAN",10030,"11","2010",1,"CENTRAL HARLEM"
1019390005,"MANHATTAN",10030,"05","2010",1,"CENTRAL HARLEM"
1019390030,"MANHATTAN",10030,"10","2010",1,"CENTRAL HARLEM"
1019400007,"MANHATTAN",10030,"08","2010",1,"CENTRAL HARLEM"
1019400022,"MANHATTAN",10030,"07","2010",1,"CENTRAL HARLEM"
1019400114,"MANHATTAN",10030,"06","2010",2,"CENTRAL HARLEM"
1019400114,"MANHATTAN",10030,"09","2010",1,"CENTRAL HARLEM"
1019400128,"MANHATTAN",10030,"08","2010",1,"CENTRAL HARLEM"
1019410020,"MANHATTAN",10030,"02","2010",2,"CENTRAL HARLEM"
1019430018,"MANHATTAN",10026,"04","2010",2,"CENTRAL HARLEM"
1019430018,"MANHATTAN",10026,"05","2010",1,"CENTRAL HARLEM"
1019430018,"MANHATTAN",10026,"06","2010",2,"CENTRAL HARLEM"
1019430018,"MANHATTAN",10026,"08","2010",2,"CENTRAL HARLEM"
1019430018,"MANHATTAN",10026,"12","2010",1,"CENTRAL HARLEM"
1019430019,"MANHATTAN",10026,"05","2010",1,"CENTRAL HARLEM"
1019430019,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1019430019,"MANHATTAN",10026,"07","2010",2,"CENTRAL HARLEM"
1019430019,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1019430020,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1019430022,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1019430024,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1019430047,"MANHATTAN",10026,"07","2010",2,"CENTRAL HARLEM"
1019430047,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1019440018,"MANHATTAN",10026,"03","2010",1,"CENTRAL HARLEM"
1019440018,"MANHATTAN",10026,"06","2010",1,"CENTRAL HARLEM"
1019440018,"MANHATTAN",10026,"08","2010",1,"CENTRAL HARLEM"
1019440023,"MANHATTAN",10026,"09","2010",1,"CENTRAL HARLEM"
1019440036,"MANHATTAN",10026,"07","2010",1,"CENTRAL HARLEM"
1019457503,"MANHATTAN",10026,"11","2010",1,"CENTRAL HARLEM"
1019470010,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1019470010,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019470011,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019470020,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019500102,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019510014,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019510022,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019530058,"MANHATTAN",10027,"02","2010",1,"CENTRAL HARLEM"
1019530058,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019530062,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019530104,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019530124,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1019530124,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019540031,"MANHATTAN",10027,"10","2010",4,"CENTRAL HARLEM"
1019550010,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019590001,"MANHATTAN",10030,"01","2010",1,"CENTRAL HARLEM"
1019630025,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019630030,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019640001,"MANHATTAN",10027,"09","2010",1,"CENTRAL HARLEM"
1019660095,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019670024,"MANHATTAN",10027,"02","2010",1,"CENTRAL HARLEM"
1019670024,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019670030,"MANHATTAN",10027,"03","2010",1,"CENTRAL HARLEM"
1019690034,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019690040,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019690048,"MANHATTAN",10027,"03","2010",2,"CENTRAL HARLEM"
1019690048,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1019690048,"MANHATTAN",10027,"05","2010",1,"CENTRAL HARLEM"
1019690048,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019690048,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019690050,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019700034,"MANHATTAN",10027,"10","2010",1,"CENTRAL HARLEM"
1019700065,"MANHATTAN",10027,"02","2010",1,"CENTRAL HARLEM"
1019820031,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1019910032,"MANHATTAN",10027,"03","2010",1,"CENTRAL HARLEM"
1019930002,"MANHATTAN",10027,"11","2010",1,"CENTRAL HARLEM"
1019930073,"MANHATTAN",10027,"05","2010",2,"CENTRAL HARLEM"
1019930086,"MANHATTAN",10027,"01","2010",1,"CENTRAL HARLEM"
1019930105,"MANHATTAN",10027,"07","2010",1,"CENTRAL HARLEM"
1019930107,"MANHATTAN",10027,"02","2010",1,"CENTRAL HARLEM"
1019930108,"MANHATTAN",10027,"06","2010",1,"CENTRAL HARLEM"
1019930108,"MANHATTAN",10027,"07","2010",2,"CENTRAL HARLEM"
1019930108,"MANHATTAN",10027,"08","2010",1,"CENTRAL HARLEM"
1019970040,"MANHATTAN",10027,"04","2010",1,"CENTRAL HARLEM"
1020060006,"MANHATTAN",10030,"04","2010",1,"CENTRAL HARLEM"
1020070002,"MANHATTAN",10030,"04","2010",2,"CENTRAL HARLEM"
1020070010,"MANHATTAN",10030,"10","2010",1,"CENTRAL HARLEM"
1020080057,"MANHATTAN",10030,"01","2010",1,"CENTRAL HARLEM"
1020080057,"MANHATTAN",10030,"11","2010",1,"CENTRAL HARLEM"
1020090039,"MANHATTAN",10030,"06","2010",1,"CENTRAL HARLEM"
1020090039,"MANHATTAN",10030,"08","2010",1,"CENTRAL HARLEM"
1020100021,"MANHATTAN",10030,"03","2010",1,"CENTRAL HARLEM"
1020110020,"MANHATTAN",10030,"05","2010",1,"CENTRAL HARLEM"
1020110038,"MANHATTAN",10030,"03","2010",1,"CENTRAL HARLEM"
1020110050,"MANHATTAN",10030,"05","2010",1,"CENTRAL HARLEM"
1020120011,"MANHATTAN",10030,"09","2010",1,"CENTRAL HARLEM"
1020120012,"MANHATTAN",10030,"07","2010",1,"CENTRAL HARLEM"
1020120012,"MANHATTAN",10030,"09","2010",1,"CENTRAL HARLEM"
1020140018,"MANHATTAN",10039,"06","2010",1,"CENTRAL HARLEM"
1020140018,"MANHATTAN",10039,"07","2010",1,"CENTRAL HARLEM"
1020140061,"MANHATTAN",10039,"09","2010",1,"CENTRAL HARLEM"
1020230011,"MANHATTAN",10030,"11","2010",1,"CENTRAL HARLEM"
