"numRats","Neighborhood","Year"
47837.6623376623,"CENTRAL HARLEM",2011
50384.8684210526,"CENTRAL HARLEM",2012
46525.8241758242,"CENTRAL HARLEM",2013
71157.1428571429,"CENTRAL HARLEM",2014
58621.3483146067,"CENTRAL HARLEM",2015
52308.7378640777,"CENTRAL HARLEM",2016
54861.1111111111,"CENTRAL HARLEM",2017
82948.3695652174,"CENTRAL HARLEM",2018
77872.6666666667,"CENTRAL HARLEM",2019
80937.037037037,"CENTRAL HARLEM",2020
93417.2597864769,"CENTRAL HARLEM",2021
69777.2727272727,"CHELSEA AND CLINTON",2011
29970.3703703704,"CHELSEA AND CLINTON",2012
53125,"CHELSEA AND CLINTON",2013
34475.8064516129,"CHELSEA AND CLINTON",2014
46223.4375,"CHELSEA AND CLINTON",2015
38469.7368421053,"CHELSEA AND CLINTON",2016
51492.1875,"CHELSEA AND CLINTON",2017
31687.5,"CHELSEA AND CLINTON",2018
56521.7391304348,"CHELSEA AND CLINTON",2019
51276.5957446809,"CHELSEA AND CLINTON",2020
54579.4117647059,"CHELSEA AND CLINTON",2021
19733.3333333333,"EAST HARLEM",2011
19015.3846153846,"EAST HARLEM",2012
29495.4545454545,"EAST HARLEM",2013
24868.4210526316,"EAST HARLEM",2014
28953.488372093,"EAST HARLEM",2015
28220,"EAST HARLEM",2016
28949.0384615385,"EAST HARLEM",2017
28175,"EAST HARLEM",2018
42939.8148148148,"EAST HARLEM",2019
32375,"EAST HARLEM",2020
35716.935483871,"EAST HARLEM",2021
15960,"GRAMERCY PARK AND MURRAY HILL",2011
19600,"GRAMERCY PARK AND MURRAY HILL",2012
46200,"GRAMERCY PARK AND MURRAY HILL",2013
22926.3157894737,"GRAMERCY PARK AND MURRAY HILL",2014
24750,"GRAMERCY PARK AND MURRAY HILL",2015
50468.75,"GRAMERCY PARK AND MURRAY HILL",2016
30716.6666666667,"GRAMERCY PARK AND MURRAY HILL",2017
19400,"GRAMERCY PARK AND MURRAY HILL",2018
49350,"GRAMERCY PARK AND MURRAY HILL",2019
43023.0769230769,"GRAMERCY PARK AND MURRAY HILL",2020
23980.303030303,"GRAMERCY PARK AND MURRAY HILL",2021
29750,"GREENWICH VILLAGE AND SOHO",2011
24275.8620689655,"GREENWICH VILLAGE AND SOHO",2012
44480,"GREENWICH VILLAGE AND SOHO",2013
28461.9047619048,"GREENWICH VILLAGE AND SOHO",2014
49380.6451612903,"GREENWICH VILLAGE AND SOHO",2015
34878.3783783784,"GREENWICH VILLAGE AND SOHO",2016
26281.25,"GREENWICH VILLAGE AND SOHO",2017
29276.1904761905,"GREENWICH VILLAGE AND SOHO",2018
47965,"GREENWICH VILLAGE AND SOHO",2019
60333.3333333333,"GREENWICH VILLAGE AND SOHO",2020
71600,"GREENWICH VILLAGE AND SOHO",2021
5950,"LOWER MANHATTAN",2011
25083.3333333333,"LOWER MANHATTAN",2012
13514.2857142857,"LOWER MANHATTAN",2013
11220,"LOWER MANHATTAN",2014
12357.6923076923,"LOWER MANHATTAN",2015
11900,"LOWER MANHATTAN",2016
13883.3333333333,"LOWER MANHATTAN",2017
19250,"LOWER MANHATTAN",2018
39187.5,"LOWER MANHATTAN",2019
12825,"LOWER MANHATTAN",2020
10125,"LOWER MANHATTAN",2021
43866.6666666667,"LOWER EAST SIDE",2011
45906.976744186,"LOWER EAST SIDE",2012
58367.6470588235,"LOWER EAST SIDE",2013
55188,"LOWER EAST SIDE",2014
47745.9459459459,"LOWER EAST SIDE",2015
47300,"LOWER EAST SIDE",2016
62750,"LOWER EAST SIDE",2017
45520.3389830508,"LOWER EAST SIDE",2018
42800,"LOWER EAST SIDE",2019
70959.1836734694,"LOWER EAST SIDE",2020
76456.7307692308,"LOWER EAST SIDE",2021
55253.5714285714,"UPPER EAST SIDE",2011
70650,"UPPER EAST SIDE",2012
63141.3043478261,"UPPER EAST SIDE",2013
56270.8333333333,"UPPER EAST SIDE",2014
64015.3846153846,"UPPER EAST SIDE",2015
57670.5882352941,"UPPER EAST SIDE",2016
63855,"UPPER EAST SIDE",2017
65787.0967741935,"UPPER EAST SIDE",2018
37968.6274509804,"UPPER EAST SIDE",2019
66191.6666666667,"UPPER EAST SIDE",2020
73102.3255813953,"UPPER EAST SIDE",2021
66952.8301886792,"UPPER WEST SIDE",2011
47827.4647887324,"UPPER WEST SIDE",2012
51651.0638297872,"UPPER WEST SIDE",2013
55172.7272727273,"UPPER WEST SIDE",2014
59551.5151515152,"UPPER WEST SIDE",2015
51485.7142857143,"UPPER WEST SIDE",2016
49524.5901639344,"UPPER WEST SIDE",2017
85200,"UPPER WEST SIDE",2018
73471.5189873418,"UPPER WEST SIDE",2019
82014.5631067961,"UPPER WEST SIDE",2020
98340.8239700375,"UPPER WEST SIDE",2021
52981.8181818182,"INWOOD AND WASHINGTON HEIGHTS",2011
65182.3008849558,"INWOOD AND WASHINGTON HEIGHTS",2012
61975.6097560976,"INWOOD AND WASHINGTON HEIGHTS",2013
59125,"INWOOD AND WASHINGTON HEIGHTS",2014
67532.0512820513,"INWOOD AND WASHINGTON HEIGHTS",2015
60110.4651162791,"INWOOD AND WASHINGTON HEIGHTS",2016
64027.5862068966,"INWOOD AND WASHINGTON HEIGHTS",2017
65435.8974358974,"INWOOD AND WASHINGTON HEIGHTS",2018
63594.6902654867,"INWOOD AND WASHINGTON HEIGHTS",2019
66471.897810219,"INWOOD AND WASHINGTON HEIGHTS",2020
80332.3943661972,"INWOOD AND WASHINGTON HEIGHTS",2021
