"numRats","Neighborhood","Year"
12000,"NORTHEAST QUEENS",2011
Inf,"NORTHEAST QUEENS",2012
12000,"NORTHEAST QUEENS",2013
7333.33333333333,"NORTHEAST QUEENS",2014
15400,"NORTHEAST QUEENS",2015
47600,"NORTHEAST QUEENS",2016
41650,"NORTHEAST QUEENS",2017
44100,"NORTHEAST QUEENS",2018
5100,"NORTHEAST QUEENS",2019
40800,"NORTHEAST QUEENS",2020
10628.5714285714,"NORTHEAST QUEENS",2021
63916.6666666667,"NORTH QUEENS",2011
52000,"NORTH QUEENS",2012
49600,"NORTH QUEENS",2013
31516.6666666667,"NORTH QUEENS",2014
54900,"NORTH QUEENS",2015
68250,"NORTH QUEENS",2016
150150,"NORTH QUEENS",2017
39600,"NORTH QUEENS",2018
68133.3333333333,"NORTH QUEENS",2019
32647.2222222222,"NORTH QUEENS",2020
42425.6756756757,"NORTH QUEENS",2021
Inf,"CENTRAL QUEENS",2011
21600,"CENTRAL QUEENS",2012
31050,"CENTRAL QUEENS",2013
11500,"CENTRAL QUEENS",2014
9000,"CENTRAL QUEENS",2015
4200,"CENTRAL QUEENS",2016
16800,"CENTRAL QUEENS",2017
11400,"CENTRAL QUEENS",2018
12540,"CENTRAL QUEENS",2019
14850,"CENTRAL QUEENS",2020
32400,"CENTRAL QUEENS",2021
131592.857142857,"JAMAICA",2011
125627.586206897,"JAMAICA",2012
104775,"JAMAICA",2013
98636.6666666667,"JAMAICA",2014
93200,"JAMAICA",2015
102000,"JAMAICA",2016
146005.714285714,"JAMAICA",2017
88054.5454545455,"JAMAICA",2018
93069.7674418605,"JAMAICA",2019
95108.1081081081,"JAMAICA",2020
79687.5,"JAMAICA",2021
48807.6923076923,"NORTHWEST QUEENS",2011
52961.5384615385,"NORTHWEST QUEENS",2012
56884.6153846154,"NORTHWEST QUEENS",2013
51112.5,"NORTHWEST QUEENS",2014
54254.347826087,"NORTHWEST QUEENS",2015
56576.7857142857,"NORTHWEST QUEENS",2016
54044.2307692308,"NORTHWEST QUEENS",2017
49716.6666666667,"NORTHWEST QUEENS",2018
79013.7931034483,"NORTHWEST QUEENS",2019
119483.333333333,"NORTHWEST QUEENS",2020
113308.208955224,"NORTHWEST QUEENS",2021
88815,"WEST CENTRAL QUEENS",2011
105580.555555556,"WEST CENTRAL QUEENS",2012
59700,"WEST CENTRAL QUEENS",2013
78720,"WEST CENTRAL QUEENS",2014
61784.7222222222,"WEST CENTRAL QUEENS",2015
70525,"WEST CENTRAL QUEENS",2016
87561.2903225807,"WEST CENTRAL QUEENS",2017
136300,"WEST CENTRAL QUEENS",2018
82595.5882352941,"WEST CENTRAL QUEENS",2019
98829.7297297297,"WEST CENTRAL QUEENS",2020
111792,"WEST CENTRAL QUEENS",2021
Inf,"ROCKAWAYS",2011
39000,"ROCKAWAYS",2012
39750,"ROCKAWAYS",2013
42400,"ROCKAWAYS",2014
28800,"ROCKAWAYS",2015
12600,"ROCKAWAYS",2016
25725,"ROCKAWAYS",2017
18620,"ROCKAWAYS",2018
20425,"ROCKAWAYS",2019
12313.6363636364,"ROCKAWAYS",2020
21080.7692307692,"ROCKAWAYS",2021
55642.8571428571,"SOUTHEAST QUEENS",2011
42750,"SOUTHEAST QUEENS",2012
82800,"SOUTHEAST QUEENS",2013
418600,"SOUTHEAST QUEENS",2014
66733.3333333333,"SOUTHEAST QUEENS",2015
60342.8571428571,"SOUTHEAST QUEENS",2016
98880,"SOUTHEAST QUEENS",2017
106090,"SOUTHEAST QUEENS",2018
61800,"SOUTHEAST QUEENS",2019
62160,"SOUTHEAST QUEENS",2020
74740,"SOUTHEAST QUEENS",2021
85462.5,"SOUTHWEST QUEENS",2011
117712.5,"SOUTHWEST QUEENS",2012
140525,"SOUTHWEST QUEENS",2013
84150,"SOUTHWEST QUEENS",2014
60534.7826086957,"SOUTHWEST QUEENS",2015
51740,"SOUTHWEST QUEENS",2016
71308.3333333333,"SOUTHWEST QUEENS",2017
86000,"SOUTHWEST QUEENS",2018
125552.941176471,"SOUTHWEST QUEENS",2019
65435.8974358974,"SOUTHWEST QUEENS",2020
65153.8461538462,"SOUTHWEST QUEENS",2021
119161.764705882,"WEST QUEENS",2011
147339.285714286,"WEST QUEENS",2012
82725.8064516129,"WEST QUEENS",2013
85171.875,"WEST QUEENS",2014
94059.375,"WEST QUEENS",2015
144874.074074074,"WEST QUEENS",2016
110942.857142857,"WEST QUEENS",2017
124653.125,"WEST QUEENS",2018
149838,"WEST QUEENS",2019
114871.428571429,"WEST QUEENS",2020
173765.263157895,"WEST QUEENS",2021
