"BBL","Borough","Zip","Month","Year","count","Neighborhood"
5001480043,"STATEN ISLAND",10310,"10","2010",1,"PORT RICHMOND"
5001570057,"STATEN ISLAND",10310,"05","2010",1,"PORT RICHMOND"
5001880040,"STATEN ISLAND",10310,"01","2010",2,"PORT RICHMOND"
5001970027,"STATEN ISLAND",10310,"08","2010",1,"PORT RICHMOND"
5001970135,"STATEN ISLAND",10310,"11","2010",1,"PORT RICHMOND"
5002060020,"STATEN ISLAND",10310,"11","2010",1,"PORT RICHMOND"
5002070023,"STATEN ISLAND",10310,"07","2010",1,"PORT RICHMOND"
5002150276,"STATEN ISLAND",10302,"07","2010",1,"PORT RICHMOND"
5002150281,"STATEN ISLAND",10302,"06","2010",1,"PORT RICHMOND"
5002210023,"STATEN ISLAND",10310,"05","2010",1,"PORT RICHMOND"
5002230057,"STATEN ISLAND",10310,"10","2010",1,"PORT RICHMOND"
5002260112,"STATEN ISLAND",10310,"05","2010",1,"PORT RICHMOND"
5002260120,"STATEN ISLAND",10310,"08","2010",1,"PORT RICHMOND"
5002280044,"STATEN ISLAND",10310,"07","2010",1,"PORT RICHMOND"
5002300001,"STATEN ISLAND",10310,"10","2010",1,"PORT RICHMOND"
5002310037,"STATEN ISLAND",10310,"07","2010",1,"PORT RICHMOND"
5002360024,"STATEN ISLAND",10310,"10","2010",1,"PORT RICHMOND"
5002380231,"STATEN ISLAND",10302,"04","2010",1,"PORT RICHMOND"
5002780023,"STATEN ISLAND",10310,"01","2010",2,"PORT RICHMOND"
5003000076,"STATEN ISLAND",10310,"04","2010",1,"PORT RICHMOND"
5003000492,"STATEN ISLAND",10310,"06","2010",1,"PORT RICHMOND"
5003510001,"STATEN ISLAND",10310,"09","2010",1,"PORT RICHMOND"
5003940048,"STATEN ISLAND",10302,"07","2010",1,"PORT RICHMOND"
5010080007,"STATEN ISLAND",10302,"08","2010",1,"PORT RICHMOND"
5010080007,"STATEN ISLAND",10302,"10","2010",1,"PORT RICHMOND"
5010210030,"STATEN ISLAND",10302,"12","2010",1,"PORT RICHMOND"
5010270061,"STATEN ISLAND",10302,"09","2010",1,"PORT RICHMOND"
5010300029,"STATEN ISLAND",10302,"10","2010",1,"PORT RICHMOND"
5010380036,"STATEN ISLAND",10302,"11","2010",2,"PORT RICHMOND"
5010380038,"STATEN ISLAND",10302,"11","2010",1,"PORT RICHMOND"
5010400018,"STATEN ISLAND",10302,"04","2010",1,"PORT RICHMOND"
5010450040,"STATEN ISLAND",10302,"01","2010",1,"PORT RICHMOND"
5010470009,"STATEN ISLAND",10302,"06","2010",1,"PORT RICHMOND"
5010530033,"STATEN ISLAND",10302,"07","2010",1,"PORT RICHMOND"
5010750004,"STATEN ISLAND",10302,"07","2010",1,"PORT RICHMOND"
