"numRats","Neighborhood","Year"
52720.4081632653,"CENTRAL BRONX",2011
55521.875,"CENTRAL BRONX",2012
65583.5294117647,"CENTRAL BRONX",2013
58946.3414634146,"CENTRAL BRONX",2014
64096.875,"CENTRAL BRONX",2015
54635.2941176471,"CENTRAL BRONX",2016
73285.7142857143,"CENTRAL BRONX",2017
58733.1081081081,"CENTRAL BRONX",2018
62496.2264150943,"CENTRAL BRONX",2019
57051.2,"CENTRAL BRONX",2020
78800,"CENTRAL BRONX",2021
74821.1711711712,"BRONX PARK AND FORDHAM",2011
61267.5,"BRONX PARK AND FORDHAM",2012
79827.6315789474,"BRONX PARK AND FORDHAM",2013
75311.5384615385,"BRONX PARK AND FORDHAM",2014
68205.3691275168,"BRONX PARK AND FORDHAM",2015
69536.1445783133,"BRONX PARK AND FORDHAM",2016
73498.4567901235,"BRONX PARK AND FORDHAM",2017
60045.8598726115,"BRONX PARK AND FORDHAM",2018
60600,"BRONX PARK AND FORDHAM",2019
68624.6575342466,"BRONX PARK AND FORDHAM",2020
91287.6190476191,"BRONX PARK AND FORDHAM",2021
41709.1304347826,"HIGH BRIDGE AND MORRISANIA",2011
62168.8172043011,"HIGH BRIDGE AND MORRISANIA",2012
50559.649122807,"HIGH BRIDGE AND MORRISANIA",2013
45860.6060606061,"HIGH BRIDGE AND MORRISANIA",2014
50732.3529411765,"HIGH BRIDGE AND MORRISANIA",2015
42170.8074534161,"HIGH BRIDGE AND MORRISANIA",2016
42982.0359281437,"HIGH BRIDGE AND MORRISANIA",2017
47135.9375,"HIGH BRIDGE AND MORRISANIA",2018
45273.8938053097,"HIGH BRIDGE AND MORRISANIA",2019
45370.1612903226,"HIGH BRIDGE AND MORRISANIA",2020
69208.7837837838,"HIGH BRIDGE AND MORRISANIA",2021
43155.8823529412,"HUNTS POINT AND MOTT HAVEN",2011
36783,"HUNTS POINT AND MOTT HAVEN",2012
39185.8695652174,"HUNTS POINT AND MOTT HAVEN",2013
39096.9230769231,"HUNTS POINT AND MOTT HAVEN",2014
42600,"HUNTS POINT AND MOTT HAVEN",2015
55362.0253164557,"HUNTS POINT AND MOTT HAVEN",2016
46200,"HUNTS POINT AND MOTT HAVEN",2017
46878.5046728972,"HUNTS POINT AND MOTT HAVEN",2018
52420.5128205128,"HUNTS POINT AND MOTT HAVEN",2019
53800,"HUNTS POINT AND MOTT HAVEN",2020
66145.5882352941,"HUNTS POINT AND MOTT HAVEN",2021
11388.8888888889,"KINGSBRIDGE AND RIVERDALE",2011
19166.6666666667,"KINGSBRIDGE AND RIVERDALE",2012
14636.3636363636,"KINGSBRIDGE AND RIVERDALE",2013
15555.5555555556,"KINGSBRIDGE AND RIVERDALE",2014
18857.1428571429,"KINGSBRIDGE AND RIVERDALE",2015
16122.8571428571,"KINGSBRIDGE AND RIVERDALE",2016
17100,"KINGSBRIDGE AND RIVERDALE",2017
15038.7096774194,"KINGSBRIDGE AND RIVERDALE",2018
15496.5517241379,"KINGSBRIDGE AND RIVERDALE",2019
25491.1764705882,"KINGSBRIDGE AND RIVERDALE",2020
22513.2352941176,"KINGSBRIDGE AND RIVERDALE",2021
46090.9090909091,"NORTHEAST BRONX",2011
65910,"NORTHEAST BRONX",2012
60450,"NORTHEAST BRONX",2013
50578.9473684211,"NORTHEAST BRONX",2014
42867.1875,"NORTHEAST BRONX",2015
71783.3333333333,"NORTHEAST BRONX",2016
50344.8275862069,"NORTHEAST BRONX",2017
53666.6666666667,"NORTHEAST BRONX",2018
46690,"NORTHEAST BRONX",2019
52500,"NORTHEAST BRONX",2020
60429.6875,"NORTHEAST BRONX",2021
100242.592592593,"SOUTHEAST BRONX",2011
54390,"SOUTHEAST BRONX",2012
74926.9230769231,"SOUTHEAST BRONX",2013
57923.6842105263,"SOUTHEAST BRONX",2014
56925,"SOUTHEAST BRONX",2015
60087.5,"SOUTHEAST BRONX",2016
62039.6341463415,"SOUTHEAST BRONX",2017
67375,"SOUTHEAST BRONX",2018
73098.6666666667,"SOUTHEAST BRONX",2019
81134.8837209302,"SOUTHEAST BRONX",2020
83536.5517241379,"SOUTHEAST BRONX",2021
