"Neighborhood","human_population","square_meter","numRats","Year","human_rat_ratio","rats_per_sqm"
"BOROUGH PARK",324120,16418150,84375,2020,0.260320251758608,0.00513912956088232
"BRONX PARK AND FORDHAM",265538,11433860,68624.6575342466,2020,0.258436297382094,0.00600188016420059
"BUSHWICK AND WILLIAMSBURG",117158,7962620,124847.457627119,2020,1.0656332271558,0.0156791932337746
"CANARSIE AND FLATLANDS",202025,30337160,50800,2020,0.251454027966836,0.00167451402834016
"CENTRAL BRONX",211051,8528220,57051.2,2020,0.270319496235507,0.00668969609132973
"CENTRAL BROOKLYN",335884,15586330,261733.333333333,2020,0.779237276361283,0.0167924927377602
"CENTRAL HARLEM",180928,5723382,80937.037037037,2020,0.447343899435339,0.0141414703818541
"CENTRAL QUEENS",97980,15463470,14850,2020,0.151561543172076,0.000960327791886297
"CHELSEA AND CLINTON",157141,7128962,51276.5957446809,2020,0.326309465668927,0.00719271553764501
"EAST HARLEM",111616,5753160,32375,2020,0.290056981077982,0.00562734219107412
"EAST NEW YORK AND NEW LOTS",193493,15868970,120750,2020,0.624053583333764,0.00760918950631326
"FLATBUSH",292416,15436210,80704.0322580645,2020,0.275990480199663,0.00522822844843809
"GRAMERCY PARK AND MURRAY HILL",135314,4349502,43023.0769230769,2020,0.317949930702491,0.00989149491667711
"GREENPOINT",141271,9900400,67222.2222222222,2020,0.475838793681805,0.00678984911945196
"GREENWICH VILLAGE AND SOHO",80762,3642691,60333.3333333333,2020,0.747051005836078,0.0165628468989912
"HIGH BRIDGE AND MORRISANIA",214281,7816430,45370.1612903226,2020,0.211732077460543,0.00580446076921594
"HUNTS POINT AND MOTT HAVEN",138077,10631050,53800,2020,0.389637665940019,0.00506064781935933
"INWOOD AND WASHINGTON HEIGHTS",265585,8847482,66471.897810219,2020,0.250284834648866,0.00751308652679022
"JAMAICA",309667,31856030,95108.1081081081,2020,0.307130266086177,0.00298556060212488
"KINGSBRIDGE AND RIVERDALE",92813,10432580,25491.1764705882,2020,0.27465092681616,0.00244342017704041
"LOWER EAST SIDE",187301,5367650,70959.1836734694,2020,0.378851066857462,0.0132197858790103
"LOWER MANHATTAN",52963,3430705,12825,2020,0.242150180314559,0.00373829868787902
"MID ISLAND",89938,35520700,16600,2020,0.184571593764593,0.000467333132511465
"NORTH QUEENS",253562,30809688,32647.2222222222,2020,0.128754396251103,0.00105964144207569
"NORTHEAST BRONX",206360,19794800,52500,2020,0.254409769335142,0.0026522116919595
"NORTHEAST QUEENS",89925,19709110,40800,2020,0.45371142618849,0.00207010869592792
"NORTHWEST BROOKLYN",262916,17408830,171674.778761062,2020,0.652964364135549,0.00986136223750028
"NORTHWEST QUEENS",195898,18614290,119483.333333333,2020,0.609926254139059,0.0064189036129411
"PORT RICHMOND",69274,15869040,49500,2020,0.714553800848803,0.00311928131758443
"ROCKAWAYS",128662,21794750,12313.6363636364,2020,0.0957053082000619,0.000564981766876719
"SOUTH SHORE",193282,66837940,185712.5,2020,0.960837015345454,0.00277854912943158
"SOUTHEAST BRONX",303526,36368140,81134.8837209302,2020,0.267307854091347,0.00223093300127337
"SOUTHEAST QUEENS",205571,34493800,62160,2020,0.302377280842142,0.00180206297943399
"SOUTHERN BROOKLYN",284917,20799030,48990,2020,0.17194481199788,0.00235539830463248
"SOUTHWEST BROOKLYN",202618,15065760,50730,2020,0.250372622373136,0.00336723802848313
"SOUTHWEST QUEENS",275920,27922540,65435.8974358974,2020,0.237155325586755,0.00234347940537993
"STAPLETON AND ST. GEORGE",123102,30524460,44785.7142857143,2020,0.363809802324205,0.00146720742269361
"SUNSET PARK",219953,9835600,54312,2020,0.246925479534264,0.00552198137378503
"UPPER EAST SIDE",213908,5139754,66191.6666666667,2020,0.309439883812979,0.0128783725187366
"UPPER WEST SIDE",215104,5438960,82014.5631067961,2020,0.381278651753552,0.015079089220512
"WEST CENTRAL QUEENS",258593,22279050,98829.7297297297,2020,0.382182540632305,0.00443599389245635
"WEST QUEENS",449376,32342450,114871.428571429,2020,0.255624306975514,0.00355172315552559
