Year,Borough,Neighborhood,Total,Humans,sq_meter
11,BROOKLYN,BOROUGH PARK,104458.3333,335341,"16,418,150"
12,BROOKLYN,BOROUGH PARK,40743.76771,334688,"16,418,150"
13,BROOKLYN,BOROUGH PARK,35933.77622,336911,"16,418,150"
14,BROOKLYN,BOROUGH PARK,34221.21019,341264,"16,418,150"
15,BROOKLYN,BOROUGH PARK,32449.77654,342436,"16,418,150"
16,BROOKLYN,BOROUGH PARK,32391.57128,338920,"16,418,150"
17,BROOKLYN,BOROUGH PARK,95900,341252,"16,418,150"
18,BROOKLYN,BOROUGH PARK,149160,330597,"16,418,150"
19,BROOKLYN,BOROUGH PARK,86230.76924,324318,"16,418,150"
20,BROOKLYN,BOROUGH PARK,103457.1429,324120,"16,418,150"
11,BRONX,BRONX PARK AND FORDHAM,65347.36842,241007,"11,433,860"
12,BRONX,BRONX PARK AND FORDHAM,69874.5098,244435,"11,433,860"
13,BRONX,BRONX PARK AND FORDHAM,72119.04762,245435,"11,433,860"
14,BRONX,BRONX PARK AND FORDHAM,76537.14286,248210,"11,433,860"
15,BRONX,BRONX PARK AND FORDHAM,64405.9322,254745,"11,433,860"
16,BRONX,BRONX PARK AND FORDHAM,64428.47223,261147,"11,433,860"
17,BRONX,BRONX PARK AND FORDHAM,67803.75,265532,"11,433,860"
18,BRONX,BRONX PARK AND FORDHAM,56507.14286,266339,"11,433,860"
19,BRONX,BRONX PARK AND FORDHAM,57537.87878,265756,"11,433,860"
20,BRONX,BRONX PARK AND FORDHAM,56513.33333,265538,"11,433,860"
11,BROOKLYN,BUSHWICK AND WILLIAMSBURG,162934.3923,208838,"7,962,620"
12,BROOKLYN,BUSHWICK AND WILLIAMSBURG,139651.0446,213371,"7,962,620"
13,BROOKLYN,BUSHWICK AND WILLIAMSBURG,107131.7073,218324,"7,962,620"
14,BROOKLYN,BUSHWICK AND WILLIAMSBURG,174878.1316,222211,"7,962,620"
15,BROOKLYN,BUSHWICK AND WILLIAMSBURG,155321.9733,222360,"7,962,620"
16,BROOKLYN,BUSHWICK AND WILLIAMSBURG,173569.8014,224198,"7,962,620"
17,BROOKLYN,BUSHWICK AND WILLIAMSBURG,151496.277,224622,"7,962,620"
18,BROOKLYN,BUSHWICK AND WILLIAMSBURG,171033.2433,221494,"7,962,620"
19,BROOKLYN,BUSHWICK AND WILLIAMSBURG,182418.0504,220620,"7,962,620"
20,BROOKLYN,BUSHWICK AND WILLIAMSBURG,164208.8965,219953,"7,962,620"
11,BROOKLYN,CANARSIE AND FLATLANDS,37191.43647,202336,"30,337,160"
12,BROOKLYN,CANARSIE AND FLATLANDS,36266.43059,205324,"30,337,160"
13,BROOKLYN,CANARSIE AND FLATLANDS,29872.65734,204355,"30,337,160"
14,BROOKLYN,CANARSIE AND FLATLANDS,24926.56051,206267,"30,337,160"
15,BROOKLYN,CANARSIE AND FLATLANDS,23235.64246,207112,"30,337,160"
16,BROOKLYN,CANARSIE AND FLATLANDS,35190.84287,208063,"30,337,160"
17,BROOKLYN,CANARSIE AND FLATLANDS,28389.83051,211087,"30,337,160"
18,BROOKLYN,CANARSIE AND FLATLANDS,30463.73832,209241,"30,337,160"
19,BROOKLYN,CANARSIE AND FLATLANDS,33029.66418,207150,"30,337,160"
20,BROOKLYN,CANARSIE AND FLATLANDS,34723.18286,202025,"30,337,160"
11,BRONX,CENTRAL BRONX,51345.74468,203982,"8,528,220"
12,BRONX,CENTRAL BRONX,47545.19232,204565,"8,528,220"
13,BRONX,CENTRAL BRONX,63817.5,206159,"8,528,220"
14,BRONX,CENTRAL BRONX,48964.61539,208693,"8,528,220"
15,BRONX,CENTRAL BRONX,51847.5,213356,"8,528,220"
16,BRONX,CENTRAL BRONX,47631.50684,214792,"8,528,220"
17,BRONX,CENTRAL BRONX,58737.5,218672,"8,528,220"
18,BRONX,CENTRAL BRONX,60456.34921,213665,"8,528,220"
19,BRONX,CENTRAL BRONX,62052.94118,215970,"8,528,220"
20,BRONX,CENTRAL BRONX,53731.03448,211051,"8,528,220"
11,BROOKLYN,CENTRAL BROOKLYN,168332.3077,312762,"15,586,330"
12,BROOKLYN,CENTRAL BROOKLYN,230300,316118,"15,586,330"
13,BROOKLYN,CENTRAL BROOKLYN,192516.3636,320856,"15,586,330"
