Year,Zip,RatsN
11,10001,3100
11,10002,12600
11,10003,17700
11,10004,1000
11,10006,300
11,10007,3400
11,10009,19800
11,10010,3400
11,10011,13000
11,10012,9200
11,10013,10900
11,10014,14000
11,10016,7500
11,10017,1400
11,10018,1700
11,10019,9900
11,10021,8500
11,10022,4100
11,10023,17400
11,10024,33400
11,10025,31400
11,10026,22200
11,10027,24900
11,10028,6800
11,10029,20800
11,10030,16400
11,10031,36500
11,10032,26900
11,10033,11300
11,10034,10900
11,10035,9900
11,10036,10900
11,10037,3100
11,10038,3400
11,10039,4400
11,10040,7800
11,10065,7500
11,10075,7200
11,10128,22500
11,10162,0
11,10280,300
11,10282,300
11,10301,9500
11,10302,7500
11,10303,9500
11,10304,12300
11,10305,15000
11,10306,21500
11,10307,3800
11,10308,10600
11,10309,7200
11,10310,6500
11,10312,24900
11,10314,18800
11,10451,14300
11,10452,25900
11,10453,28300
11,10454,10200
11,10455,17100
11,10456,37200
11,10457,33100
11,10458,42000
11,10459,27600
11,10460,23500
11,10461,5100
11,10462,10200
11,10463,7200
11,10464,300
11,10465,10200
11,10466,13600
11,10467,43300
11,10468,28000
11,10469,16400
11,10470,3100
11,10471,3400
11,10472,27300
11,10473,7800
11,10474,3100
11,10475,1400
11,11001,1700
11,11004,700
11,11040,0
11,11101,12300
11,11102,1000
11,11103,3400
11,11104,3800
11,11105,2400
11,11106,4400
11,11201,10900
11,11203,28600
11,11204,8900
11,11205,20100
11,11206,27300
11,11207,45400
11,11208,32100
11,11209,7500
11,11210,12300
11,11211,26300
11,11212,24600
11,11213,23900
11,11214,10200
11,11215,21800
11,11216,27300
11,11217,26300
11,11218,9200
11,11219,10600
11,11220,8200
11,11221,61700
11,11222,17700
11,11223,7500
11,11224,6800
11,11225,17700
11,11226,19400
11,11228,4400
11,11229,7500
11,11230,12600
11,11231,13600
11,11232,5100
11,11233,49800
11,11234,17400
11,11235,18800
11,11236,16400
11,11237,32700
11,11238,34400
11,11239,700
11,11249,300
11,11354,2700
11,11355,3400
11,11356,3800
11,11357,5800
11,11358,3100
11,11360,1000
11,11361,1400
11,11362,300
11,11363,1000
11,11364,2400
11,11365,2700
11,11366,1000
11,11367,3400
11,11368,12300
11,11369,7800
11,11370,5100
11,11372,7800
11,11373,12600
11,11374,3400
11,11375,10900
11,11377,13300
11,11378,7800
11,11379,10600
11,11385,31700
11,11411,3400
11,11412,12600
11,11413,6100
11,11414,4100
11,11415,700
11,11416,5500
11,11417,6500
11,11418,4800
11,11419,10600
11,11420,12600
11,11421,6100
11,11422,2400
11,11423,11300
11,11426,3800
11,11427,1400
11,11428,2700
11,11429,6500
11,11430,300
11,11432,9900
11,11433,18800
11,11434,12300
11,11435,9900
11,11436,8200
11,11691,7200
11,11692,2000
11,11693,1400
11,11694,1400
