Year,Zip,RatsN
19,10001,7400
19,10002,17400
19,10003,24000
19,10004,0
19,10005,0
19,10006,0
19,10007,7000
19,10009,11800
19,10010,6500
19,10011,11800
19,10012,14200
19,10013,30700
19,10014,14700
19,10016,14400
19,10017,0
19,10018,0
19,10019,7500
19,10020,0
19,10021,12500
19,10022,17900
19,10023,14500
19,10024,29900
19,10025,23300
19,10026,21400
19,10027,26500
19,10028,10800
19,10029,20000
19,10030,13700
19,10031,22500
19,10032,13700
19,10033,9600
19,10034,9200
19,10035,16100
19,10036,0
19,10037,3900
19,10038,5400
19,10039,33800
19,10040,7300
19,10065,5100
19,10069,0
19,10075,5500
19,10112,0
19,10119,0
19,10128,10300
19,10280,0
19,10282,0
19,10301,36400
19,10302,22100
19,10303,17000
19,10304,12500
19,10305,38400
19,10306,43100
19,10307,0
19,10308,0
19,10309,0
19,10310,18400
19,10312,32300
19,10314,61000
19,10451,7700
19,10452,11100
19,10453,21500
19,10454,8500
19,10455,11500
19,10456,20700
19,10457,21000
19,10458,33900
19,10459,27300
19,10460,16500
19,10461,28100
19,10462,23600
19,10463,13900
19,10464,0
19,10465,24000
19,10466,21600
19,10467,27300
19,10468,11600
19,10469,28700
19,10470,5200
19,10471,2300
19,10472,23800
19,10473,6200
19,10474,7900
19,10475,0
19,11001,0
19,11004,0
19,11040,0
19,11101,63300
19,11102,0
19,11103,13200
19,11104,15300
19,11105,6400
19,11106,17900
19,11109,0
19,11201,43000
19,11203,30500
19,11204,10400
19,11205,19700
19,11206,45300
19,11207,58000
19,11208,123000
19,11209,0
19,11210,15200
19,11211,60600
19,11212,41300
19,11213,34400
19,11214,15200
19,11215,119400
19,11216,75900
19,11217,18500
19,11218,28800
19,11219,31200
19,11220,37800
19,11221,108900
19,11222,31900
19,11223,24100
19,11224,7300
19,11225,22600
19,11226,26400
19,11228,0
19,11229,44800
19,11230,29300
19,11231,26100
19,11232,18100
19,11233,64900
19,11234,61300
19,11235,19800
19,11236,36400
19,11237,42600
19,11238,48900
19,11239,0
19,11241,0
19,11249,20400
19,11354,16500
19,11355,0
19,11356,1000
19,11357,0
19,11358,8100
19,11360,0
19,11361,0
19,11362,0
19,11364,300
19,11365,2500
19,11366,1000
19,11367,4700
19,11368,27300
19,11369,32500
19,11370,10500
19,11372,17900
19,11373,23500
19,11374,11600
19,11375,22100
19,11377,175200
19,11378,12500
19,11379,68200
19,11385,40000
19,11411,0
19,11412,8800
19,11413,22000
19,11414,0
19,11415,0
19,11416,0
19,11417,0
19,11418,10600
19,11419,34900
19,11420,17600
19,11421,9800
19,11422,3900
19,11423,0
19,11426,5400
19,11427,0
19,11428,0
19,11429,11900
19,11432,18500
19,11433,21600
19,11434,25700
19,11435,14700
19,11436,0
19,11691,10000
19,11692,0
19,11693,0
19,11694,0
