"Year","zip","Borough","Neighborhood","Percentage","Number"
14,10001,"MANHATTAN","CHELSEA AND CLINTON","0.022782407",6879.16666666667
14,10002,"MANHATTAN","LOWER EAST SIDE","0.039974686",23566.6666666667
14,10003,"MANHATTAN","LOWER EAST SIDE","0.039974686",10580.9523809524
14,10004,"MANHATTAN","LOWER MANHATTAN","0.006644869",1267.45222929936
14,10005,"MANHATTAN","LOWER MANHATTAN","0.006644869",422.484076433121
14,10007,"MANHATTAN","LOWER MANHATTAN","0.006644869",3379.87261146497
14,10009,"MANHATTAN","LOWER EAST SIDE","0.039974686",20200
14,10010,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.014028056",6759.74522292994
14,10011,"MANHATTAN","CHELSEA AND CLINTON","0.022782407",13758.3333333333
14,10012,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.021200295",9533.33333333333
14,10013,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.021200295",11366.6666666667
14,10014,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.021200295",11000
14,10016,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.014028056",11829.5541401274
14,10017,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.014028056",1689.93630573248
14,10018,"MANHATTAN","CHELSEA AND CLINTON","0.022782407",2645.83333333333
14,10019,"MANHATTAN","CHELSEA AND CLINTON","0.022782407",6350
14,10021,"MANHATTAN","UPPER EAST SIDE","0.017930598",9153.84615384615
14,10022,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.014028056",5069.80891719745
14,10023,"MANHATTAN","UPPER WEST SIDE","0.035650248",9565.85365853659
14,10024,"MANHATTAN","UPPER WEST SIDE","0.035650248",16546.3414634146
14,10025,"MANHATTAN","UPPER WEST SIDE","0.035650248",23268.2926829268
14,10026,"MANHATTAN","CENTRAL HARLEM","0.039869212",18117.6470588235
14,10027,"MANHATTAN","CENTRAL HARLEM","0.039869212",26023.5294117647
14,10028,"MANHATTAN","UPPER EAST SIDE","0.017930598",10526.9230769231
14,10029,"MANHATTAN","EAST HARLEM","0.017930598",17480
14,10030,"MANHATTAN","CENTRAL HARLEM","0.039869212",13835.2941176471
14,10031,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.052526105",14559.6774193548
14,10032,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.052526105",13819.3548387097
14,10033,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.052526105",12832.2580645161
14,10034,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.052526105",6909.67741935484
