Year,Zip,RatsN
19,10001,8400
19,10002,15600
19,10003,21600
19,10004,0
19,10005,0
19,10006,0
19,10007,0
19,10009,13800
19,10010,9100
19,10011,13400
19,10012,26500
19,10013,0
19,10014,29900
19,10016,27200
19,10017,0
19,10018,0
19,10019,14300
19,10020,0
19,10021,0
19,10022,10200
19,10023,28300
19,10024,42700
19,10025,30100
19,10026,53700
19,10027,38300
19,10028,13400
19,10029,24100
19,10030,17400
19,10031,22300
19,10032,29300
19,10033,17000
19,10034,9100
19,10035,23100
19,10036,0
19,10037,7400
19,10038,0
19,10039,16300
19,10040,10400
19,10065,5800
19,10069,0
19,10075,10400
19,10112,0
19,10119,0
19,10128,11600
19,10280,0
19,10282,0
19,10301,17200
19,10302,0
19,10303,0
19,10304,39100
19,10305,0
19,10306,35800
19,10307,0
19,10308,0
19,10309,0
19,10310,15000
19,10312,34100
19,10314,77500
19,10451,7500
19,10452,17100
19,10453,32200
19,10454,29900
19,10455,21000
19,10456,47200
19,10457,37300
19,10458,45500
19,10459,27600
19,10460,19800
19,10461,35700
19,10462,26600
19,10463,18000
19,10464,0
19,10465,0
19,10466,36800
19,10467,36000
19,10468,11000
19,10469,76700
19,10470,0
19,10471,1800
19,10472,50000
19,10473,7600
19,10474,8800
19,10475,0
19,11001,0
19,11004,0
19,11040,0
19,11101,32200
19,11102,0
19,11103,0
19,11104,15300
19,11105,2800
19,11106,0
19,11109,0
19,11201,71000
19,11203,34600
19,11204,0
19,11205,40300
19,11206,54700
19,11207,100900
19,11208,184500
19,11209,0
19,11210,18900
19,11211,123800
19,11212,42900
19,11213,45200
19,11214,21600
19,11215,0
19,11216,105000
19,11217,29700
19,11218,70000
19,11219,50700
19,11220,42300
19,11221,129700
19,11222,28200
19,11223,0
19,11224,6100
19,11225,30700
19,11226,40500
19,11228,0
19,11229,0
19,11230,0
19,11231,49200
19,11232,0
19,11233,148400
19,11234,0
19,11235,35700
19,11236,33600
19,11237,78100
19,11238,55400
19,11239,0
19,11241,0
19,11249,40300
19,11354,8300
19,11355,0
19,11356,0
19,11357,0
19,11358,4500
19,11360,0
19,11361,0
19,11362,0
19,11364,0
19,11365,0
19,11366,200
19,11367,4200
19,11368,83200
19,11369,0
19,11370,0
19,11372,30800
19,11373,29200
19,11374,7400
19,11375,0
19,11377,157000
19,11378,0
19,11379,0
19,11385,154900
19,11411,0
19,11412,5900
19,11413,0
19,11414,0
19,11415,0
19,11416,0
19,11417,0
19,11418,7300
19,11419,41000
19,11420,32300
19,11421,0
19,11422,2600
19,11423,0
19,11426,0
19,11427,0
19,11428,0
19,11429,0
19,11432,19500
19,11433,58300
19,11434,42000
19,11435,18000
19,11436,0
19,11691,0
19,11692,0
19,11693,0
19,11694,0
