"Year","zip","Borough","Neighborhood","Percentage","Number"
19,10001,"MANHATTAN","CHELSEA AND CLINTON","0.016529533",11404.1666666667
19,10002,"MANHATTAN","LOWER EAST SIDE","0.023141346",16430.7692307692
19,10003,"MANHATTAN","LOWER EAST SIDE","0.023141346",12665.3846153846
19,10004,"MANHATTAN","LOWER MANHATTAN","0.00448134",2508.58208955224
19,10005,"MANHATTAN","LOWER MANHATTAN","0.00448134",2508.58208955224
19,10006,"MANHATTAN","LOWER MANHATTAN","0.00448134",1254.29104477612
19,10007,"MANHATTAN","LOWER MANHATTAN","0.00448134",3762.87313432836
19,10009,"MANHATTAN","LOWER EAST SIDE","0.023141346",13692.3076923077
19,10010,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.00800764",5435.26119402985
19,10011,"MANHATTAN","CHELSEA AND CLINTON","0.016529533",19454.1666666667
19,10012,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.017484572",11475
19,10013,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.017484572",20250
19,10014,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.017484572",13500
19,10016,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.00800764",10870.5223880597
19,10017,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.00800764",418.097014925373
19,10018,"MANHATTAN","CHELSEA AND CLINTON","0.016529533",2683.33333333333
19,10019,"MANHATTAN","CHELSEA AND CLINTON","0.016529533",8050
19,10020,"MANHATTAN","CHELSEA AND CLINTON","0.016529533",0
19,10021,"MANHATTAN","UPPER EAST SIDE","0.015721422",6057.69230769231
19,10022,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.00800764",6271.4552238806
19,10023,"MANHATTAN","UPPER WEST SIDE","0.054878049",11657.03125
19,10024,"MANHATTAN","UPPER WEST SIDE","0.054878049",17078.90625
19,10025,"MANHATTAN","UPPER WEST SIDE","0.054878049",34971.09375
19,10026,"MANHATTAN","CENTRAL HARLEM","0.054290332",15907.6923076923
19,10027,"MANHATTAN","CENTRAL HARLEM","0.054290332",18221.5384615385
19,10028,"MANHATTAN","UPPER EAST SIDE","0.015721422",9519.23076923077
19,10029,"MANHATTAN","EAST HARLEM","0.026520717",22114.2857142857
19,10030,"MANHATTAN","CENTRAL HARLEM","0.054290332",17353.8461538462
19,10031,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.038642374",21102.9411764706
19,10032,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.038642374",9285.29411764706
19,10033,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.038642374",9285.29411764706
19,10034,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.038642374",10692.1568627451
19,10035,"MANHATTAN","EAST HARLEM","0.026520717",10135.7142857143
19,10036,"MANHATTAN","CHELSEA AND CLINTON","0.016529533",12745.8333333333
19,10037,"MANHATTAN","CENTRAL HARLEM","0.054290332",6652.30769230769
19,10038,"MANHATTAN","LOWER MANHATTAN","0.00448134",4599.0671641791
19,10039,"MANHATTAN","CENTRAL HARLEM","0.054290332",5784.61538461538
19,10040,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.038642374",5908.82352941176
19,10065,"MANHATTAN","UPPER EAST SIDE","0.015721422",5769.23076923077
19,10069,"MANHATTAN","#N/A","#N/A",418.097014925373
19,10075,"MANHATTAN","UPPER EAST SIDE","0.015721422",6057.69230769231
19,10112,"MANHATTAN","#N/A","#N/A",0
19,10119,"MANHATTAN","#N/A","#N/A",0
19,10128,"MANHATTAN","UPPER EAST SIDE","0.015721422",10384.6153846154
19,10280,"MANHATTAN","LOWER MANHATTAN","0.00448134",836.194029850746
19,10282,"MANHATTAN","#N/A","#N/A",0
19,10301,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.014178666",18814.3656716418
19,10302,"STATEN ISLAND","PORT RICHMOND","0.01168087",12542.9104477612
19,10303,"STATEN ISLAND","PORT RICHMOND","0.01168087",12124.8134328358
19,10304,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.014178666",12542.9104477612
19,10305,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.014178666",7107.64925373134
19,10306,"STATEN ISLAND","SOUTH SHORE","0.013297091",20486.7537313433
19,10307,"STATEN ISLAND","SOUTH SHORE","0.013297091",4180.97014925373
19,10308,"STATEN ISLAND","SOUTH SHORE","0.013297091",9198.13432835821
19,10309,"STATEN ISLAND","SOUTH SHORE","0.013297091",5853.35820895522
19,10310,"STATEN ISLAND","PORT RICHMOND","0.01168087",17978.171641791
19,10312,"STATEN ISLAND","SOUTH SHORE","0.013297091",17560.0746268657
19,10314,"STATEN ISLAND","MID ISLAND","0.008595357",22159.1417910448
19,10451,"BRONX","HIGH BRIDGE AND MORRISANIA","0.026814575",5875
19,10452,"BRONX","HIGH BRIDGE AND MORRISANIA","0.026814575",13331.7307692308
19,10453,"BRONX","CENTRAL BRONX","0.032618278",20684.3137254902
19,10454,"BRONX","HUNTS POINT AND MOTT HAVEN","0.022333235",9372.97297297297
19,10455,"BRONX","HUNTS POINT AND MOTT HAVEN","0.022333235",15162.1621621622
19,10456,"BRONX","HIGH BRIDGE AND MORRISANIA","0.026814575",20336.5384615385
19,10457,"BRONX","CENTRAL BRONX","0.032618278",22296.0784313725
19,10458,"BRONX","BRONX PARK AND FORDHAM","0.034307964",20901.5151515152
19,10459,"BRONX","HUNTS POINT AND MOTT HAVEN","0.022333235",17643.2432432432
19,10460,"BRONX","CENTRAL BRONX","0.032618278",19072.5490196078
19,10461,"BRONX","SOUTHEAST BRONX","0.03136938",12000
19,10462,"BRONX","SOUTHEAST BRONX","0.03136938",19125
19,10463,"BRONX","KINGSBRIDGE AND RIVERDALE","0.00896268",21322.947761194
19,10463,"MANHATTAN","KINGSBRIDGE AND RIVERDALE","0.00896268",21322.947761194
19,10464,"BRONX","SOUTHEAST BRONX","0.03136938",750
19,10465,"BRONX","SOUTHEAST BRONX","0.03136938",6375
19,10466,"BRONX","NORTHEAST BRONX","0.013664414",16723.8805970149
19,10467,"BRONX","BRONX PARK AND FORDHAM","0.034307964",23484.8484848485
19,10468,"BRONX","BRONX PARK AND FORDHAM","0.034307964",13151.5151515152
19,10469,"BRONX","NORTHEAST BRONX","0.013664414",20068.6567164179
19,10470,"BRONX","NORTHEAST BRONX","0.013664414",10034.328358209
19,10471,"BRONX","KINGSBRIDGE AND RIVERDALE","0.00896268",3344.77611940298
19,10472,"BRONX","SOUTHEAST BRONX","0.03136938",26625
19,10473,"BRONX","SOUTHEAST BRONX","0.03136938",9750
19,10474,"BRONX","HUNTS POINT AND MOTT HAVEN","0.022333235",8545.94594594595
19,10475,"BRONX","NORTHEAST BRONX","0.013664414",836.194029850746
19,11001,"QUEENS","#N/A","#N/A",1254.29104477612
19,11004,"QUEENS","SOUTHEAST QUEENS","0.006538349",836.194029850746
19,11040,"QUEENS","#N/A","#N/A",418.097014925373
19,11101,"QUEENS","NORTHWEST QUEENS","0.022259771",33608.3333333333
19,11102,"QUEENS","NORTHWEST QUEENS","0.022259771",9083.33333333333
19,11103,"QUEENS","NORTHWEST QUEENS","0.022259771",12716.6666666667
19,11104,"QUEENS","NORTHWEST QUEENS","0.022259771",15441.6666666667
19,11105,"QUEENS","NORTHWEST QUEENS","0.022259771",10900
19,11106,"QUEENS","NORTHWEST QUEENS","0.022259771",28158.3333333333
19,11109,"QUEENS","#N/A","#N/A",0
19,11201,"BROOKLYN","NORTHWEST BROOKLYN","0.059138995",16995.1923076923
19,11203,"BROOKLYN","FLATBUSH","0.040478989",22610.3448275862
19,11204,"BROOKLYN","BOROUGH PARK","0.019321187",14615.3846153846
19,11205,"BROOKLYN","NORTHWEST BROOKLYN","0.059138995",37875
19,11206,"BROOKLYN","SUNSET PARK","0.041654423",52307.2916666667
19,11207,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.024316779",82150
19,11208,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.024316779",51012.5
19,11209,"BROOKLYN","SOUTHWEST BROOKLYN","0.009256538",12124.8134328358
19,11210,"BROOKLYN","FLATBUSH","0.040478989",7727.58620689655
19,11211,"BROOKLYN","GREENPOINT","0.024096386",47600
19,11212,"BROOKLYN","CENTRAL BROOKLYN","0.11284161",37648.2300884956
19,11213,"BROOKLYN","CENTRAL BROOKLYN","0.11284161",30201.3274336283
19,11214,"BROOKLYN","SOUTHWEST BROOKLYN","0.009256538",9616.23134328358
19,11215,"BROOKLYN","NORTHWEST BROOKLYN","0.059138995",54384.6153846154
19,11216,"BROOKLYN","CENTRAL BROOKLYN","0.11284161",77365.0442477876
19,11217,"BROOKLYN","NORTHWEST BROOKLYN","0.059138995",28163.4615384615
19,11218,"BROOKLYN","BOROUGH PARK","0.019321187",27038.4615384615
19,11219,"BROOKLYN","BOROUGH PARK","0.019321187",25576.9230769231
19,11220,"BROOKLYN","BUSHWICK AND WILLIAMSBURG","0.010505436",20068.6567164179
19,11221,"BROOKLYN","SUNSET PARK","0.041654423",91645.8333333333
19,11222,"BROOKLYN","GREENPOINT","0.024096386",29866.6666666667
19,11223,"BROOKLYN","SOUTHERN BROOKLYN","0.019247723",16791.1764705882
19,11224,"BROOKLYN","SOUTHERN BROOKLYN","0.019247723",10176.4705882353
19,11225,"BROOKLYN","FLATBUSH","0.040478989",20320.6896551724
19,11226,"BROOKLYN","FLATBUSH","0.040478989",33486.2068965517
19,11228,"BROOKLYN","SOUTHWEST BROOKLYN","0.009256538",7943.84328358209
19,11229,"BROOKLYN","SOUTHERN BROOKLYN","0.019247723",13229.4117647059
19,11230,"BROOKLYN","BOROUGH PARK","0.019321187",19000
19,11231,"BROOKLYN","NORTHWEST BROOKLYN","0.059138995",14567.3076923077
19,11232,"BROOKLYN","BUSHWICK AND WILLIAMSBURG","0.010505436",9616.23134328358
19,11233,"BROOKLYN","CENTRAL BROOKLYN","0.11284161",54196.9026548673
19,11234,"BROOKLYN","CANARSIE AND FLATLANDS","0.010431972",17141.9776119403
19,11235,"BROOKLYN","SOUTHERN BROOKLYN","0.019247723",29002.9411764706
19,11236,"BROOKLYN","CANARSIE AND FLATLANDS","0.010431972",15051.4925373134
19,11237,"BROOKLYN","#N/A","#N/A",38464.9253731343
19,11238,"BROOKLYN","CENTRAL BROOKLYN","0.11284161",54610.6194690265
19,11239,"BROOKLYN","CANARSIE AND FLATLANDS","0.010431972",836.194029850746
19,11241,"BROOKLYN","#N/A","#N/A",0
19,11249,"BROOKLYN","#N/A","#N/A",8780.03731343284
19,11354,"QUEENS","NORTH QUEENS","0.012856303",5435.26119402985
19,11355,"QUEENS","NORTH QUEENS","0.012856303",7943.84328358209
19,11356,"QUEENS","NORTH QUEENS","0.012856303",1254.29104477612
19,11357,"QUEENS","NORTH QUEENS","0.012856303",15051.4925373134
19,11358,"QUEENS","NORTH QUEENS","0.012856303",2508.58208955224
19,11360,"QUEENS","NORTH QUEENS","0.012856303",418.097014925373
19,11361,"QUEENS","NORTHEAST QUEENS","0.001248898",3762.87313432836
19,11362,"QUEENS","NORTHEAST QUEENS","0.001248898",0
19,11364,"QUEENS","NORTHEAST QUEENS","0.001248898",836.194029850746
19,11365,"QUEENS","CENTRAL QUEENS","0.002424331",2926.67910447761
19,11366,"QUEENS","CENTRAL QUEENS","0.002424331",1672.38805970149
19,11367,"QUEENS","CENTRAL QUEENS","0.002424331",7525.74626865672
19,11368,"QUEENS","WEST QUEENS","0.038421981",32842.8571428571
19,11369,"QUEENS","WEST QUEENS","0.038421981",19014.2857142857
19,11370,"QUEENS","WEST QUEENS","0.038421981",12100
19,11372,"QUEENS","WEST QUEENS","0.038421981",28521.4285714286
19,11373,"QUEENS","WEST QUEENS","0.038421981",38028.5714285714
19,11374,"QUEENS","WEST CENTRAL QUEENS","0.020937408",8882.5
19,11375,"QUEENS","WEST CENTRAL QUEENS","0.020937408",15152.5
19,11377,"QUEENS","WEST QUEENS","0.038421981",46671.4285714286
19,11378,"QUEENS","WEST QUEENS","0.038421981",17285.7142857143
19,11379,"QUEENS","WEST CENTRAL QUEENS","0.020937408",19855
19,11385,"QUEENS","WEST CENTRAL QUEENS","0.020937408",44935
19,11411,"QUEENS","SOUTHEAST QUEENS","0.006538349",2926.67910447761
19,11412,"QUEENS","JAMAICA","0.022994417",18926.3157894737
19,11413,"QUEENS","SOUTHEAST QUEENS","0.006538349",7525.74626865672
19,11414,"QUEENS","SOUTHWEST QUEENS","0.019982368",5730
19,11415,"QUEENS","SOUTHWEST QUEENS","0.019982368",4775
19,11416,"QUEENS","SOUTHWEST QUEENS","0.019982368",10505
19,11417,"QUEENS","SOUTHWEST QUEENS","0.019982368",11460
19,11418,"QUEENS","SOUTHWEST QUEENS","0.019982368",21965
19,11419,"QUEENS","SOUTHWEST QUEENS","0.019982368",34380
19,11420,"QUEENS","SOUTHWEST QUEENS","0.019982368",27695
19,11421,"QUEENS","SOUTHWEST QUEENS","0.019982368",14325
19,11422,"QUEENS","SOUTHEAST QUEENS","0.006538349",4599.0671641791
19,11423,"QUEENS","JAMAICA","0.022994417",9157.8947368421
19,11426,"QUEENS","SOUTHEAST QUEENS","0.006538349",7107.64925373134
19,11427,"QUEENS","SOUTHEAST QUEENS","0.006538349",4180.97014925373
19,11428,"QUEENS","SOUTHEAST QUEENS","0.006538349",1672.38805970149
19,11429,"QUEENS","SOUTHEAST QUEENS","0.006538349",5435.26119402985
19,11432,"QUEENS","JAMAICA","0.022994417",12821.0526315789
19,11433,"QUEENS","JAMAICA","0.022994417",27473.6842105263
19,11434,"QUEENS","JAMAICA","0.022994417",18926.3157894737
19,11435,"QUEENS","JAMAICA","0.022994417",26863.1578947368
19,11436,"QUEENS","JAMAICA","0.022994417",15263.1578947368
19,11691,"QUEENS","ROCKAWAYS","0.0035263",8361.94029850746
19,11692,"QUEENS","ROCKAWAYS","0.0035263",2508.58208955224
19,11693,"QUEENS","ROCKAWAYS","0.0035263",1254.29104477612
19,11694,"QUEENS","ROCKAWAYS","0.0035263",1254.29104477612
