Year,Zip,RatsN
12,10001,4000
12,10002,18400
12,10003,19000
12,10004,0
12,10005,0
12,10006,0
12,10007,6000
12,10009,31900
12,10010,0
12,10011,42900
12,10012,4000
12,10013,9500
12,10014,12300
12,10016,9900
12,10017,0
12,10018,0
12,10019,7500
12,10021,0
12,10022,8000
12,10023,9500
12,10024,24700
12,10025,17000
12,10026,21700
12,10027,15400
12,10028,9500
12,10029,11400
12,10030,7100
12,10031,18700
12,10032,19200
12,10033,11300
12,10034,9800
12,10035,11400
12,10036,6300
12,10037,3300
12,10038,8400
12,10039,3900
12,10040,5300
12,10065,13600
12,10069,0
12,10075,5600
12,10128,46200
12,10162,100
12,10280,0
12,10301,10700
12,10302,10500
12,10303,0
12,10304,14500
12,10305,41900
12,10306,17900
12,10307,3600
12,10308,20000
12,10309,15700
12,10310,11000
12,10312,15100
12,10314,52900
12,10451,10300
12,10452,12400
12,10453,16700
12,10454,6000
12,10455,10500
12,10456,33200
12,10457,20800
12,10458,35800
12,10459,20700
12,10460,18900
12,10461,13600
12,10462,13800
12,10463,29500
12,10464,0
12,10465,35100
12,10466,20700
12,10467,25900
12,10468,19600
12,10469,43500
12,10470,4900
12,10471,0
12,10472,31100
12,10473,12000
12,10474,2100
12,10475,2800
12,11001,0
12,11004,0
12,11101,0
12,11102,0
12,11103,0
12,11104,9100
12,11105,9200
12,11106,0
12,11201,9900
12,11203,48600
12,11204,0
12,11205,68400
12,11206,36400
12,11207,113400
12,11208,35100
12,11209,0
12,11210,8600
12,11211,24200
12,11212,35300
12,11213,38300
12,11214,18000
12,11215,202500
12,11216,63100
12,11217,37000
12,11218,23900
12,11219,46800
12,11220,20400
12,11221,93500
12,11222,24400
12,11223,9100
12,11224,5500
12,11225,22000
12,11226,42100
12,11228,8300
12,11229,15800
12,11230,40300
12,11231,22800
12,11232,0
12,11233,70700
12,11234,52700
12,11235,68400
12,11236,0
12,11237,72100
12,11238,45300
12,11249,2400
12,11354,0
12,11355,0
12,11356,0
12,11357,7600
12,11358,9800
12,11360,200
12,11361,0
12,11362,0
12,11363,0
12,11364,0
12,11365,0
12,11366,0
12,11367,0
12,11368,20300
12,11369,0
12,11370,0
12,11372,7600
12,11373,30600
12,11374,0
12,11375,0
12,11377,21500
12,11378,49600
12,11379,31100
12,11385,81800
12,11411,0
12,11412,20400
12,11413,14200
12,11414,5500
12,11415,0
12,11416,0
12,11417,17100
12,11418,15300
12,11419,0
12,11420,12000
12,11421,13600
12,11422,0
12,11423,0
12,11426,3200
12,11427,0
12,11428,0
12,11429,11900
12,11432,8500
12,11433,30800
12,11434,22200
12,11435,13900
12,11436,12100
12,11691,0
12,11692,0
12,11693,2100
12,11694,0
