Neighborhood,Zip,Population,Land Area sq. meter
CENTRAL BRONX,10453,"78,858","2,372,410"
CENTRAL BRONX,10457,"74,679","2,748,730"
CENTRAL BRONX,10460,"57,514","3,407,080"
BRONX PARK AND FORDHAM,10467,"100,867","6,035,760"
BRONX PARK AND FORDHAM,10468,"78,778","2,784,850"
BRONX PARK AND FORDHAM,10458,"85,893","2,613,250"
HIGH BRIDGE AND MORRISANIA,10451,"49,423","2,628,490"
HIGH BRIDGE AND MORRISANIA,10452,"74,379","2,550,150"
HIGH BRIDGE AND MORRISANIA,10456,"90,479","2,637,790"
HUNTS POINT AND MOTT HAVEN,10454,"37,807","2,699,700"
HUNTS POINT AND MOTT HAVEN,10455,"40,300","1,844,520"
HUNTS POINT AND MOTT HAVEN,10459,"48,391","2,115,930"
HUNTS POINT AND MOTT HAVEN,10474,"11,579","3,970,900"
KINGSBRIDGE AND RIVERDALE,10463,"70,236","3,745,410"
KINGSBRIDGE AND RIVERDALE,10471,"22,577","6,687,170"
NORTHEAST BRONX,10466,"74,519","5,227,060"
NORTHEAST BRONX,10469,"72,550","6,414,680"
NORTHEAST BRONX,10470,"15,500","3,689,950"
NORTHEAST BRONX,10475,"43,791","4,463,110"
SOUTHEAST BRONX,10461,"51,081","6,215,150"
SOUTHEAST BRONX,10462,"75,441","3,833,090"
SOUTHEAST BRONX,10464,"4,322","9,070,630"
SOUTHEAST BRONX,10465,"45,066","8,882,830"
SOUTHEAST BRONX,10472,"67,989","2,720,840"
SOUTHEAST BRONX,10473,"59,627","5,645,600"
CENTRAL BROOKLYN,11212,"74,037","3,983,220"
CENTRAL BROOKLYN,11213,"67,382","2,825,710"
CENTRAL BROOKLYN,11216,"59,567","2,422,750"
CENTRAL BROOKLYN,11233,"79,796","3,491,030"
CENTRAL BROOKLYN,11238,"55,102","2,863,620"
SOUTHWEST BROOKLYN,11209,"68,368","5,599,870"
SOUTHWEST BROOKLYN,11214,"90,372","5,658,760"
SOUTHWEST BROOKLYN,11228,"43,878","3,807,130"
BOROUGH PARK,11204,"75,840","4,115,360"
BOROUGH PARK,11218,"73,280","3,699,260"
BOROUGH PARK,11219,"87,812","3,838,520"
BOROUGH PARK,11230,"87,188","4,765,010"
CANARSIE AND FLATLANDS,11234,"90,372","19,547,800"
CANARSIE AND FLATLANDS,11236,"98,821","9,311,390"
CANARSIE AND FLATLANDS,11239,"12,832","1,477,970"
SOUTHERN BROOKLYN,11223,"80,500","5,372,270"
SOUTHERN BROOKLYN,11224,"45,587","3,999,170"
SOUTHERN BROOKLYN,11229,"81,909","5,611,290"
SOUTHERN BROOKLYN,11235,"76,921","5,816,300"
NORTHWEST BROOKLYN,11201,"64,798","3,680,350"
NORTHWEST BROOKLYN,11205,"47,866","2,459,480"
NORTHWEST BROOKLYN,11215,"69,995","5,641,350"
NORTHWEST BROOKLYN,11217,"42,461","1,944,330"
NORTHWEST BROOKLYN,11231,"37,796","3,683,320"
FLATBUSH,11203,"77,589","5,557,080"
FLATBUSH,11210,"62,423","4,250,380"
FLATBUSH,11225,"56,072","2,289,250"
FLATBUSH,11226,"96,332","3,339,500"
EAST NEW YORK AND NEW LOTS,11207,"90,867","6,917,450"
EAST NEW YORK AND NEW LOTS,11208,"102,626","8,951,520"
GREENPOINT,11211,"104,561","5,952,760"
GREENPOINT,11222,"36,710","3,947,640"
BUSHWICK AND WILLIAMSBURG,11220,"90,657","4,639,240"
BUSHWICK AND WILLIAMSBURG,11232,"26,501","3,323,380"
SUNSET PARK,11206,"87,599","3,715,220"
SUNSET PARK,11221,"85,582","3,582,800"
SUNSET PARK,11237,"46,772","2,537,580"
CENTRAL HARLEM,"10,026","38,937","860,745"
CENTRAL HARLEM,"10,027","64,728","2,257,090"
CENTRAL HARLEM,"10,030","30,996","722,465"
CENTRAL HARLEM,"10,037","19,177","683,722"
CENTRAL HARLEM,"10,039","27,090","1,199,360"
CHILSEA AND CLINTON,10001,25026,"1,609,400"
CHILSEA AND CLINTON,"10,011","50,228","1,705,240"
CHILSEA AND CLINTON,"10,018","8,135","833,392"
CHILSEA AND CLINTON,"10,019","45,521","1,761,260"
CHILSEA AND CLINTON,"10,020",0,"71,560"
CHILSEA AND CLINTON,"10,036","28,231","1,148,110"
