Year,Zip,RatsN
11,10001,0
11,10002,9500
11,10003,39000
11,10004,0
11,10006,0
11,10007,1800
11,10009,15100
11,10010,2300
11,10011,43700
11,10012,9500
11,10013,9000
11,10014,12300
11,10016,5900
11,10017,0
11,10018,0
11,10019,8200
11,10021,6700
11,10022,3900
11,10023,10900
11,10024,33700
11,10025,16600
11,10026,9300
11,10027,27200
11,10028,8500
11,10029,12200
11,10030,7600
11,10031,17200
11,10032,14600
11,10033,9000
11,10034,10900
11,10035,5800
11,10036,44800
11,10037,5000
11,10038,3500
11,10039,9100
11,10040,5000
11,10065,17600
11,10075,6000
11,10128,18900
11,10162,0
11,10280,0
11,10282,0
11,10301,35000
11,10302,20900
11,10303,0
11,10304,24300
11,10305,14300
11,10306,41000
11,10307,2500
11,10308,14700
11,10309,16300
11,10310,19000
11,10312,26800
11,10314,23600
11,10451,6500
11,10452,10100
11,10453,19100
11,10454,11000
11,10455,14300
11,10456,24100
11,10457,19600
11,10458,28500
11,10459,17000
11,10460,13500
11,10461,22500
11,10462,9300
11,10463,9200
11,10464,0
11,10465,37500
11,10466,23500
11,10467,32800
11,10468,20900
11,10469,25600
11,10470,0
11,10471,1500
11,10472,44600
11,10473,16100
11,10474,2000
11,10475,1100
11,11001,500
11,11004,0
11,11040,0
11,11101,13100
11,11102,0
11,11103,11000
11,11104,0
11,11105,3700
11,11106,6500
11,11201,0
11,11203,61300
11,11204,15600
11,11205,31500
11,11206,28700
11,11207,49100
11,11208,42900
11,11209,0
11,11210,25200
11,11211,31200
11,11212,34500
11,11213,21000
11,11214,24800
11,11215,50400
11,11216,94700
11,11217,26600
11,11218,20900
11,11219,46500
11,11220,18000
11,11221,112800
11,11222,49400
11,11223,21500
11,11224,4500
11,11225,11400
11,11226,0
11,11228,5200
11,11229,0
11,11230,16000
11,11231,18000
11,11232,12000
11,11233,42200
11,11234,40800
11,11235,22700
11,11236,64800
11,11237,24300
11,11238,29000
11,11239,100
11,11249,0
11,11354,0
11,11355,2800
11,11356,0
11,11357,15300
11,11358,0
11,11360,0
11,11361,0
11,11362,0
11,11363,0
11,11364,2800
11,11365,0
11,11366,0
11,11367,0
11,11368,0
11,11369,7500
11,11370,3800
11,11372,17300
11,11373,31500
11,11374,0
11,11375,0
11,11377,58500
11,11378,0
11,11379,11900
11,11385,49100
11,11411,0
11,11412,16700
11,11413,16200
11,11414,5400
11,11415,0
11,11416,0
11,11417,16200
11,11418,9800
11,11419,31000
11,11420,17600
11,11421,5900
11,11422,4600
11,11423,14900
11,11426,0
11,11427,700
11,11428,0
11,11429,15200
11,11430,0
11,11432,11600
11,11433,19300
11,11434,42300
11,11435,12300
11,11436,26400
11,11691,0
11,11692,0
11,11693,0
11,11694,0
