Year,Zip,RatsN
18,10001,7900
18,10002,19000
18,10003,14000
18,10004,1800
18,10005,600
18,10006,900
18,10007,2300
18,10009,22800
18,10010,6700
18,10011,17000
18,10012,8500
18,10013,9900
18,10014,7300
18,10016,9100
18,10017,1500
18,10018,4400
18,10019,7300
18,10021,7300
18,10022,6100
18,10023,12000
18,10024,26000
18,10025,40400
18,10026,26900
18,10027,19300
18,10028,13500
18,10029,20500
18,10030,20500
18,10031,24600
18,10032,21900
18,10033,18100
18,10034,14000
18,10035,15500
18,10036,7000
18,10037,5300
18,10038,5800
18,10039,8800
18,10040,9400
18,10065,7300
18,10069,600
18,10075,3200
18,10128,17300
18,10280,0
18,10282,300
18,10301,10800
18,10302,10200
18,10303,6400
18,10304,14600
18,10305,13700
18,10306,15800
18,10307,1500
18,10308,5600
18,10309,5300
18,10310,14000
18,10312,10500
18,10314,19900
18,10451,15200
18,10452,27200
18,10453,27800
18,10454,13200
18,10455,17500
18,10456,37400
18,10457,40400
18,10458,38000
18,10459,30700
18,10460,29200
18,10461,7600
18,10462,22200
18,10463,19000
18,10464,1200
18,10465,8200
18,10466,19300
18,10467,38900
18,10468,31000
18,10469,21300
18,10470,6400
18,10471,3200
18,10472,26600
18,10473,8500
18,10474,10800
18,10475,2000
18,11001,1200
18,11004,1200
18,11040,0
18,11101,11700
18,11102,5300
18,11103,9100
18,11104,3800
18,11105,4700
18,11106,5800
18,11109,0
18,11201,17000
18,11203,24300
18,11204,9700
18,11205,27200
18,11206,35100
18,11207,51500
18,11208,24000
18,11209,5800
18,11210,9700
18,11211,34800
18,11212,36300
18,11213,38900
18,11214,8200
18,11215,43000
18,11216,69300
18,11217,32800
18,11218,12300
18,11219,8800
18,11220,9100
18,11221,83000
18,11222,18100
18,11223,8800
18,11224,5300
18,11225,22200
18,11226,40400
18,11228,5600
18,11229,9100
18,11230,9400
18,11231,8200
18,11232,6700
18,11233,47700
18,11234,12000
18,11235,15800
18,11236,19000
18,11237,42400
18,11238,55000
18,11239,0
18,11249,9700
18,11354,4400
18,11355,7600
18,11356,1500
18,11357,6400
18,11358,5000
18,11360,900
18,11361,10800
18,11362,900
18,11364,1200
18,11365,1500
18,11366,2300
18,11367,2000
18,11368,16700
18,11369,4700
18,11370,7600
18,11372,11100
18,11373,14300
18,11374,8200
18,11375,7900
18,11377,24900
18,11378,9900
18,11379,11100
18,11385,31300
18,11411,2600
18,11412,11700
18,11413,4700
18,11414,5300
18,11415,2900
18,11416,7300
18,11417,8800
18,11418,9900
18,11419,9400
18,11420,8200
18,11421,3500
18,11422,3800
18,11423,3500
18,11426,2300
18,11427,2600
18,11428,2000
18,11429,7600
18,11432,12600
18,11433,18400
18,11434,12000
18,11435,13700
18,11436,7900
18,11691,8200
18,11692,1800
18,11693,1500
18,11694,1800
