"Year","zip","Borough","Neighborhood","Percentage","Number"
12,10001,"MANHATTAN","CHELSEA AND CLINTON","0.017141533",3295.83333333333
12,10002,"MANHATTAN","LOWER EAST SIDE","0.030345147",18588.2352941176
12,10003,"MANHATTAN","LOWER EAST SIDE","0.030345147",13011.7647058824
12,10004,"MANHATTAN","LOWER MANHATTAN","0.005559416",895.467422096317
12,10005,"MANHATTAN","LOWER MANHATTAN","0.005559416",0
12,10006,"MANHATTAN","LOWER MANHATTAN","0.005559416",1790.93484419263
12,10007,"MANHATTAN","LOWER MANHATTAN","0.005559416",3134.13597733711
12,10009,"MANHATTAN","LOWER EAST SIDE","0.030345147",20911.7647058824
12,10010,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.008107482",3581.86968838527
12,10011,"MANHATTAN","CHELSEA AND CLINTON","0.017141533",10829.1666666667
12,10012,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.017488997",4484.61538461538
12,10013,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.017488997",10600
12,10014,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.017488997",13861.5384615385
12,10016,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.008107482",6716.00566572238
12,10017,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.008107482",1790.93484419263
12,10018,"MANHATTAN","CHELSEA AND CLINTON","0.017141533",3766.66666666667
12,10019,"MANHATTAN","CHELSEA AND CLINTON","0.017141533",8004.16666666667
12,10021,"MANHATTAN","UPPER EAST SIDE","0.020152884",6933.33333333333
12,10022,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.008107482",5372.8045325779
12,10023,"MANHATTAN","UPPER WEST SIDE","0.047370859",8050
12,10024,"MANHATTAN","UPPER WEST SIDE","0.047370859",15525
12,10025,"MANHATTAN","UPPER WEST SIDE","0.047370859",16675
12,10026,"MANHATTAN","CENTRAL HARLEM","0.042390549",8997.72727272727
12,10027,"MANHATTAN","CENTRAL HARLEM","0.042390549",18481.8181818182
12,10028,"MANHATTAN","UPPER EAST SIDE","0.020152884",7466.66666666667
12,10029,"MANHATTAN","EAST HARLEM","0.014246004",14775.2124645892
12,10030,"MANHATTAN","CENTRAL HARLEM","0.042390549",8997.72727272727
12,10031,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.053046097",17250
12,10032,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.053046097",16000
12,10033,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.053046097",8750
12,10034,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.053046097",8000
12,10035,"MANHATTAN","EAST HARLEM","0.014246004",15670.6798866856
12,10036,"MANHATTAN","CHELSEA AND CLINTON","0.017141533",12712.5
12,10037,"MANHATTAN","CENTRAL HARLEM","0.042390549",2675
12,10038,"MANHATTAN","LOWER MANHATTAN","0.005559416",5820.53824362606
12,10039,"MANHATTAN","CENTRAL HARLEM","0.042390549",3404.54545454545
12,10040,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.053046097",5250
12,10065,"MANHATTAN","UPPER EAST SIDE","0.020152884",8000
12,10069,"MANHATTAN","#N/A","#N/A",0
12,10075,"MANHATTAN","UPPER EAST SIDE","0.020152884",17066.6666666667
12,10128,"MANHATTAN","UPPER EAST SIDE","0.020152884",20266.6666666667
12,10162,"MANHATTAN","#N/A","#N/A",447.733711048159
12,10280,"MANHATTAN","LOWER MANHATTAN","0.005559416",895.467422096317
12,10301,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.013551077",10297.8753541076
12,10302,"STATEN ISLAND","PORT RICHMOND","0.009265694",8059.20679886686
12,10303,"STATEN ISLAND","PORT RICHMOND","0.009265694",9850.14164305949
12,10304,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.013551077",10745.6090651558
12,10305,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.013551077",10745.6090651558
12,10306,"STATEN ISLAND","SOUTH SHORE","0.01876303",17480
12,10307,"STATEN ISLAND","SOUTH SHORE","0.01876303",3680
12,10308,"STATEN ISLAND","SOUTH SHORE","0.01876303",8740
12,10309,"STATEN ISLAND","SOUTH SHORE","0.01876303",13340
12,10310,"STATEN ISLAND","PORT RICHMOND","0.009265694",6716.00566572238
12,10312,"STATEN ISLAND","SOUTH SHORE","0.01876303",19320
12,10314,"STATEN ISLAND","MID ISLAND","0.007180913",25073.0878186969
12,10451,"BRONX","HIGH BRIDGE AND MORRISANIA","0.048529071",11106.3829787234
12,10452,"BRONX","HIGH BRIDGE AND MORRISANIA","0.048529071",13882.9787234043
12,10453,"BRONX","CENTRAL BRONX","0.04053741",15446.1538461538
12,10454,"BRONX","HUNTS POINT AND MOTT HAVEN","0.024322446",5348.14814814815
12,10455,"BRONX","HUNTS POINT AND MOTT HAVEN","0.024322446",9851.85185185185
12,10456,"BRONX","HIGH BRIDGE AND MORRISANIA","0.048529071",27765.9574468085
12,10457,"BRONX","CENTRAL BRONX","0.04053741",21721.1538461538
12,10458,"BRONX","BRONX PARK AND FORDHAM","0.053741024",28127.4509803922
12,10459,"BRONX","HUNTS POINT AND MOTT HAVEN","0.024322446",16325.9259259259
12,10460,"BRONX","CENTRAL BRONX","0.04053741",10377.8846153846
12,10461,"BRONX","SOUTHEAST BRONX","0.030576789",10150
12,10462,"BRONX","SOUTHEAST BRONX","0.030576789",14379.1666666667
12,10463,"BRONX","KINGSBRIDGE AND RIVERDALE","0.006138522",14327.4787535411
12,10464,"BRONX","SOUTHEAST BRONX","0.030576789",422.916666666667
12,10465,"BRONX","SOUTHEAST BRONX","0.030576789",9727.08333333333
12,10466,"BRONX","NORTHEAST BRONX","0.02073199",25108.3333333333
12,10467,"BRONX","BRONX PARK AND FORDHAM","0.053741024",25758.8235294118
12,10468,"BRONX","BRONX PARK AND FORDHAM","0.053741024",15988.2352941176
12,10469,"BRONX","NORTHEAST BRONX","0.02073199",32750
12,10470,"BRONX","NORTHEAST BRONX","0.02073199",6004.16666666667
12,10471,"BRONX","KINGSBRIDGE AND RIVERDALE","0.006138522",1343.20113314448
12,10472,"BRONX","SOUTHEAST BRONX","0.030576789",31295.8333333333
12,10473,"BRONX","SOUTHEAST BRONX","0.030576789",10995.8333333333
12,10474,"BRONX","HUNTS POINT AND MOTT HAVEN","0.024322446",3377.77777777778
12,10475,"BRONX","NORTHEAST BRONX","0.02073199",6004.16666666667
12,11001,"QUEENS","#N/A","#N/A",447.733711048159
12,11004,"QUEENS","SOUTHEAST QUEENS","0.01088719",447.733711048159
12,11101,"QUEENS","NORTHWEST QUEENS","0.013087792",12088.8101983003
12,11102,"QUEENS","NORTHWEST QUEENS","0.013087792",4029.60339943343
12,11103,"QUEENS","NORTHWEST QUEENS","0.013087792",8954.67422096317
12,11104,"QUEENS","NORTHWEST QUEENS","0.013087792",4477.33711048159
12,11105,"QUEENS","NORTHWEST QUEENS","0.013087792",8954.67422096317
12,11106,"QUEENS","NORTHWEST QUEENS","0.013087792",3581.86968838527
12,11201,"BROOKLYN","NORTHWEST BROOKLYN","0.046328469",17340
12,11203,"BROOKLYN","FLATBUSH","0.043317118",30150
12,11204,"BROOKLYN","BOROUGH PARK","0.012624508",4477.33711048159
12,11205,"BROOKLYN","NORTHWEST BROOKLYN","0.046328469",20230
12,11206,"BROOKLYN","SUNSET PARK","0.051192958",30618.75
12,11207,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.026291406",69750
12,11208,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.026291406",49600
12,11209,"BROOKLYN","SOUTHWEST BROOKLYN","0.010192263",7611.4730878187
12,11210,"BROOKLYN","FLATBUSH","0.043317118",11250
12,11211,"BROOKLYN","GREENPOINT","0.020384526",28860
12,11212,"BROOKLYN","CENTRAL BROOKLYN","0.082464675",30380
