BBL,Year,Zip,count,Zop
1000010010,20,10004,1,10004
1000070030,17,10004,1,10004
1000077501,13,10004,1,10004
1000077501,17,10004,1,10004
1000077501,18,10004,2,10004
1000077502,21,10004,1,10004
1000080039,17,10004,1,10004
1000080044,10,10004,1,10004
1000100023,17,10004,1,10004
1000110010,19,10004,1,10004
1000110012,16,10004,1,10004
1000110014,19,10004,1,10004
1000110015,18,10004,3,10004
1000110029,18,10004,1,10004
1000110029,20,10004,2,10004
1000117501,17,10004,1,10004
1000130001,11,10004,1,10004
1000150022,13,10006,1,10006
1000150022,18,10006,1,10006
1000150022,21,10006,1,10006
1000157501,19,10004,1,10004
1000157501,20,10004,1,10004
1000157502,20,10004,1,10004
1000160001,12,10280,1,10280
1000160020,19,10280,1,10280
1000160035,14,10280,1,10280
1000160100,14,10280,4,10280
1000160100,15,10280,3,10280
1000160100,18,10280,3,10280
1000160125,18,10280,1,10280
1000160180,10,10007,1,10007
1000160180,21,10282,1,10282
1000160185,19,10282,1,10282
1000160195,17,10282,1,10282
1000160195,19,10282,1,10282
1000160210,10,10282,1,10282
1000160210,20,10282,1,10282
1000160221,18,10282,1,10282
1000160260,11,10282,1,10282
1000167502,19,10280,1,10280
1000167503,20,10280,1,10280
1000167504,18,10280,1,10280
1000167505,20,10280,1,10280
1000167508,21,10280,1,10280
1000167509,11,10280,1,10280
1000167510,11,10280,1,10280
1000167512,20,10282,1,10282
1000167516,13,10282,1,10282
1000167516,21,10282,1,10282
1000167517,10,10280,3,10280
1000167517,11,10280,1,10280
1000167517,14,10280,2,10280
1000167519,20,10282,1,10282
1000167521,20,10282,1,10282
1000167521,21,10282,1,10282
1000167522,20,10282,1,10282
1000167523,19,10282,1,10282
1000167523,21,10282,4,10282
1000180100,13,10006,1,10006
1000180100,18,10006,1,10006
1000187501,12,10006,1,10006
1000187501,15,10006,5,10006
1000187501,19,10006,1,10006
1000187501,20,10006,1,10006
1000190013,15,10006,2,10006
1000190013,16,10006,1,10006
1000190013,17,10006,1,10006
1000190018,19,10006,3,10006
1000190019,15,10006,1,10006
1000190019,16,10006,1,10006
1000190021,15,10006,1,10006
1000190024,15,10006,1,10006
1000197501,20,10006,1,10006
1000200001,12,10006,1,10006
1000200013,12,10006,1,10006
1000200016,17,10006,2,10006
1000200016,18,10006,3,10006
1000210001,17,10006,1,10006
1000210004,13,10006,1,10006
1000210006,10,10006,1,10006
1000220013,11,10004,1,10004
1000220013,21,10004,1,10004
1000220020,20,10004,1,10004
1000220020,21,10004,1,10004
1000220024,10,10004,1,10004
1000220024,13,10004,1,10004
1000220028,19,10004,1,10004
1000230007,16,10005,1,10005
1000240029,19,10004,3,10004
1000250001,14,10004,2,10004
1000250001,18,10004,1,10004
1000250007,16,10004,1,10004
1000250019,19,10004,1,10004
1000250019,19,10005,1,10005
1000250027,13,10005,2,10005
1000250027,16,10005,1,10005
1000257501,13,10004,1,10004
1000257501,14,10004,1,10004
1000270009,19,10005,1,10005
1000270009,20,10005,1,10005
1000270017,19,10005,2,10005
1000270017,20,10005,1,10005
1000270017,21,10005,5,10005
1000277501,21,10004,1,10004
1000280001,12,10004,1,10004
1000280012,20,10005,2,10005
1000287501,14,10005,1,10005
1000290022,18,10004,1,10004
1000290023,10,10004,1,10004
1000300001,18,10004,1,10004
1000300004,16,10004,1,10004
1000300005,17,10004,1,10004
1000300034,18,10004,1,10004
1000300034,21,10004,2,10004
1000317501,15,10005,2,10005
1000317501,18,10005,1,10005
1000317501,20,10005,1,10005
1000330011,12,10005,2,10005
1000330011,21,10005,1,10005
1000330022,16,10005,1,10005
1000337501,17,10005,1,10005
1000350010,14,10005,1,10005
1000410015,18,10005,1,10005
1000417504,18,10005,1,10005
1000420001,18,10005,1,10005
1000420022,17,10005,1,10005
1000420022,18,10005,1,10005
1000430002,21,10005,1,10005
1000447501,18,10005,1,10005
1000460003,19,10005,1,10005
1000490001,20,10006,1,10006
1000510001,16,10006,1,10006
1000520001,19,10006,1,10006
1000520010,21,10006,1,10006
1000520016,21,10006,1,10006
1000520021,21,10006,1,10006
1000527501,21,10006,1,10006
1000530004,11,10006,2,10006
1000530006,11,10006,1,10006
1000530012,11,10006,2,10006
1000530033,20,10006,3,10006
1000530035,21,10006,1,10006
1000530037,11,10006,1,10006
1000530040,12,10006,1,10006
1000537502,20,10006,1,10006
1000540001,15,10006,1,10006
1000550016,19,10006,1,10006
1000640021,12,10038,1,10038
1000640021,21,10038,2,10038
1000640025,17,10038,1,10038
1000640025,21,10038,1,10038
1000647501,16,10005,1,10005
1000650022,12,10038,1,10038
1000670001,19,10038,1,10038
1000670001,20,10038,3,10038
1000670001,21,10038,1,10038
1000670023,18,10038,4,10038
1000690001,11,10038,2,10038
1000690018,11,10038,1,10038
1000690032,21,10038,2,10038
1000697502,19,10038,1,10038
1000710001,12,10038,1,10038
1000720007,18,10038,2,10038
1000727501,16,10038,1,10038
1000727502,18,10038,4,10038
1000730010,19,10038,1,10038
1000730014,21,10038,1,10038
1000740001,15,10038,1,10038
1000747501,12,10038,1,10038
1000750008,17,10038,1,10038
1000750046,19,10038,1,10038
1000760001,12,10038,1,10038
1000760006,15,10038,1,10038
1000760028,19,10038,1,10038
1000760028,21,10038,1,10038
1000770001,20,10038,1,10038
1000770015,16,10038,1,10038
1000770015,19,10038,1,10038
1000770015,20,10038,2,10038
1000770018,16,10038,1,10038
1000770018,20,10038,1,10038
1000770021,15,10038,1,10038
1000770022,13,10038,1,10038
1000770024,14,10038,4,10038
1000770024,16,10038,1,10038
1000770024,17,10038,1,10038
1000780001,11,10038,1,10038
1000780004,15,10038,1,10038
1000780020,14,10038,1,10038
1000787506,11,10038,4,10038
1000787508,14,10038,1,10038
1000787508,19,10038,2,10038
1000787510,14,10038,1,10038
1000790004,12,10038,1,10038
1000790015,15,10038,1,10038
1000790015,20,10038,1,10038
1000790025,12,10038,1,10038
1000790026,13,10038,1,10038
1000790027,14,10038,1,10038
1000797501,11,10038,2,10038
1000797502,12,10038,1,10038
1000797502,13,10038,1,10038
1000847501,19,10007,1,10007
1000890001,14,10038,1,10038
1000890012,13,10038,1,10038
1000890012,17,10038,1,10038
1000890012,18,10038,1,10038
1000900017,21,10038,1,10038
1000900022,21,10038,1,10038
1000917501,20,10038,1,10038
1000920003,21,10038,1,10038
1000920013,14,10038,1,10038
1000920017,13,10038,2,10038
1000920030,12,10038,1,10038
1000927501,21,10038,1,10038
1000930001,14,10038,1,10038
1000930001,19,10038,1,10038
1000930028,19,10038,1,10038
1000930028,21,10038,1,10038
1000930029,21,10038,1,10038
1000930034,20,10038,1,10038
1000940001,10,10038,5,10038
1000940001,13,10038,1,10038
1000940001,14,10038,2,10038
1000940001,15,10038,2,10038
1000940001,16,10038,1,10038
1000940001,17,10038,3,10038
1000940001,19,10038,2,10038
1000940001,20,10038,2,10038
1000940001,21,10038,6,10038
1000940025,10,10038,2,10038
1000940025,13,10038,1,10038
1000940025,15,10038,1,10038
1000940025,20,10038,1,10038
1000940025,21,10038,2,10038
1000950027,10,10038,1,10038
1000950027,20,10038,1,10038
1000950027,21,10038,1,10038
1000960005,10,10038,1,10038
1000960005,17,10038,1,10038
1000970001,13,10038,1,10038
