"BBL","Borough","Incident Zip","Year","count"
1022150061,"BRONX",10463,"18",1
1022150063,"BRONX",10463,"17",1
1022150080,"BRONX",10463,"19",1
1022150116,"BRONX",10463,"18",3
1022150116,"BRONX",10463,"19",3
1022150116,"BRONX",10463,"21",4
1022150193,"BRONX",10463,"20",1
1022150197,"BRONX",10463,"17",2
1022150197,"BRONX",10463,"21",1
1022150225,"BRONX",10463,"20",3
1022150225,"BRONX",10463,"21",1
1022150230,"BRONX",10463,"21",1
1022150324,"BRONX",10463,"21",2
1022150326,"BRONX",10463,"20",1
1022150326,"BRONX",10463,"21",3
1022150339,"BRONX",10463,"14",1
1022150470,"BRONX",10463,"18",1
1022150534,"BRONX",10463,"21",9
1022150547,"BRONX",10463,"18",1
1022150549,"BRONX",10463,"19",1
1022150578,"BRONX",10463,"17",1
1022150586,"BRONX",10463,"14",1
1022150586,"BRONX",10463,"15",1
1022150586,"BRONX",10463,"16",3
1022150586,"BRONX",10463,"17",2
1022150586,"BRONX",10463,"18",2
1022150586,"BRONX",10463,"20",1
2022600018,"BRONX",10454,"21",1
2022610003,"BRONX",10454,"20",1
2022610032,"BRONX",10454,"20",1
2022610045,"BRONX",10454,"16",1
2022610045,"BRONX",10454,"17",2
2022610045,"BRONX",10454,"21",1
2022610062,"BRONX",10454,"14",1
2022630019,"BRONX",10454,"14",1
2022630019,"BRONX",10454,"20",1
2022640003,"BRONX",10454,"14",1
2022640003,"BRONX",10454,"15",1
2022650002,"BRONX",10454,"14",1
2022650003,"BRONX",10454,"15",2
2022650003,"BRONX",10454,"18",1
2022650003,"BRONX",10454,"20",5
2022650003,"BRONX",10454,"21",1
2022650029,"BRONX",10454,"21",6
2022650031,"BRONX",10454,"16",1
2022650031,"BRONX",10454,"17",1
2022650033,"BRONX",10454,"14",1
2022650033,"BRONX",10454,"15",1
2022650033,"BRONX",10454,"18",3
2022650033,"BRONX",10454,"19",2
2022650033,"BRONX",10454,"20",1
2022650035,"BRONX",10454,"17",3
2022650035,"BRONX",10454,"18",2
2022650037,"BRONX",10454,"16",5
2022650037,"BRONX",10454,"17",18
2022650037,"BRONX",10454,"18",5
2022650037,"BRONX",10454,"19",2
2022650037,"BRONX",10454,"21",1
2022660001,"BRONX",10454,"18",3
2022660005,"BRONX",10454,"15",1
2022660005,"BRONX",10454,"20",1
2022660005,"BRONX",10454,"21",2
2022660008,"BRONX",10454,"15",3
2022660008,"BRONX",10454,"19",1
2022660008,"BRONX",10454,"20",1
2022660020,"BRONX",10454,"20",2
2022660022,"BRONX",10454,"15",1
2022660036,"BRONX",10454,"14",1
2022660036,"BRONX",10454,"15",1
2022660037,"BRONX",10454,"19",1
2022660037,"BRONX",10454,"21",1
2022660040,"BRONX",10454,"14",1
2022660111,"BRONX",10454,"21",1
2022670002,"BRONX",10454,"14",3
2022670002,"BRONX",10454,"15",4
2022670003,"BRONX",10454,"16",1
2022670011,"BRONX",10454,"15",1
2022670011,"BRONX",10454,"16",2
2022670065,"BRONX",10454,"14",1
2022670065,"BRONX",10454,"15",2
2022670065,"BRONX",10454,"16",3
2022670065,"BRONX",10454,"17",3
2022670067,"BRONX",10454,"18",1
2022670067,"BRONX",10454,"20",1
2022670113,"BRONX",10454,"20",1
2022680008,"BRONX",10454,"19",1
2022680010,"BRONX",10454,"16",1
2022680010,"BRONX",10454,"18",1
2022680013,"BRONX",10454,"21",1
2022680016,"BRONX",10454,"21",1
2022680020,"BRONX",10454,"21",1
2022690001,"BRONX",10454,"16",1
2022690001,"BRONX",10454,"17",3
2022690001,"BRONX",10454,"20",1
2022720005,"BRONX",10455,"19",1
2022720022,"BRONX",10454,"17",1
2022720038,"BRONX",10454,"19",1
2022720109,"BRONX",10455,"17",2
2022740006,"BRONX",10455,"16",1
2022740033,"BRONX",10455,"17",1
2022740077,"BRONX",10455,"14",1
2022750001,"BRONX",10455,"16",1
2022750010,"BRONX",10455,"16",2
2022750010,"BRONX",10455,"17",1
2022750010,"BRONX",10455,"18",5
2022750010,"BRONX",10455,"21",1
2022750037,"BRONX",10455,"18",1
2022750128,"BRONX",10455,"15",1
2022770005,"BRONX",10454,"21",1
2022770082,"BRONX",10454,"17",1
2022770082,"BRONX",10454,"18",2
2022780005,"BRONX",10454,"15",1
2022780005,"BRONX",10454,"16",2
2022780005,"BRONX",10454,"17",1
2022780005,"BRONX",10454,"18",5
2022780005,"BRONX",10454,"19",7
2022780005,"BRONX",10454,"21",1
2022780009,"BRONX",10454,"18",1
2022780012,"BRONX",10454,"18",1
2022780013,"BRONX",10454,"16",1
2022780015,"BRONX",10454,"16",1
2022780016,"BRONX",10454,"16",1
2022780023,"BRONX",10454,"15",1
2022800023,"BRONX",10454,"17",1
2022800025,"BRONX",10454,"20",1
2022800029,"BRONX",10454,"15",3
2022800029,"BRONX",10454,"16",2
2022800029,"BRONX",10454,"17",1
2022800029,"BRONX",10454,"19",1
2022800029,"BRONX",10454,"21",6
2022800053,"BRONX",10454,"14",1
2022800060,"BRONX",10454,"15",1
2022800060,"BRONX",10454,"17",1
2022800062,"BRONX",10454,"16",1
2022800064,"BRONX",10454,"18",1
2022800129,"BRONX",10454,"21",2
2022800130,"BRONX",10454,"16",2
2022800130,"BRONX",10454,"21",1
2022810002,"BRONX",10454,"15",2
2022810002,"BRONX",10454,"17",1
2022810004,"BRONX",10454,"15",1
2022810021,"BRONX",10454,"16",6
2022810035,"BRONX",10454,"19",1
2022810060,"BRONX",10454,"15",2
2022810060,"BRONX",10454,"17",2
2022810060,"BRONX",10454,"18",1
2022810060,"BRONX",10454,"20",4
2022810060,"BRONX",10454,"21",2
2022820001,"BRONX",10454,"15",1
2022820002,"BRONX",10454,"21",1
2022820003,"BRONX",10454,"17",1
2022820005,"BRONX",10454,"16",1
2022820007,"BRONX",10454,"15",1
2022820012,"BRONX",10454,"16",2
2022820012,"BRONX",10454,"17",2
2022820012,"BRONX",10454,"21",2
2022820013,"BRONX",10454,"18",1
2022820018,"BRONX",10454,"14",6
2022820018,"BRONX",10454,"15",5
2022820018,"BRONX",10454,"16",4
2022820018,"BRONX",10454,"17",5
2022820018,"BRONX",10454,"18",10
2022820018,"BRONX",10454,"19",1
2022820018,"BRONX",10454,"21",1
2022820027,"BRONX",10454,"15",4
2022820040,"BRONX",10454,"14",1
2022820040,"BRONX",10454,"15",1
2022820043,"BRONX",10454,"15",1
2022820057,"BRONX",10454,"17",1
2022820057,"BRONX",10454,"21",1
2022820075,"BRONX",10454,"21",1
2022830013,"BRONX",10454,"21",1
2022830014,"BRONX",10454,"21",1
2022830033,"BRONX",10454,"18",3
2022830033,"BRONX",10454,"21",1
2022830040,"BRONX",10454,"18",2
