"BBL","Borough","Incident Zip","Year","count"
3000010050,"BROOKLYN",11201,"17",1
3000070021,"BROOKLYN",11201,"15",1
3000180001,"BROOKLYN",11201,"21",1
3000200006,"BROOKLYN",11201,"15",1
3000280005,"BROOKLYN",11201,"20",1
3000290016,"BROOKLYN",11201,"15",1
3000290016,"BROOKLYN",11201,"19",2
3000300023,"BROOKLYN",11201,"17",1
3000300023,"BROOKLYN",11201,"21",1
3000300024,"BROOKLYN",11201,"16",1
3000317503,"BROOKLYN",11201,"14",1
3000320001,"BROOKLYN",11201,"15",1
3000350001,"BROOKLYN",11201,"18",1
3000350001,"BROOKLYN",11201,"20",1
3000350008,"BROOKLYN",11201,"21",1
3000350012,"BROOKLYN",11201,"16",1
3000350012,"BROOKLYN",11201,"17",1
3000357501,"BROOKLYN",11201,"15",2
3000357501,"BROOKLYN",11201,"18",1
3000360001,"BROOKLYN",11201,"15",1
3000367503,"BROOKLYN",11201,"18",1
3000370001,"BROOKLYN",11201,"21",1
3000400001,"BROOKLYN",11201,"14",1
3000400001,"BROOKLYN",11201,"15",3
3000400001,"BROOKLYN",11201,"19",1
3000410005,"BROOKLYN",11201,"14",1
3000417501,"BROOKLYN",11201,"16",1
3000420001,"BROOKLYN",11201,"19",3
3000420001,"BROOKLYN",11201,"20",1
3000420024,"BROOKLYN",11201,"16",4
3000420024,"BROOKLYN",11201,"17",1
3000420024,"BROOKLYN",11201,"18",1
3000420024,"BROOKLYN",11201,"19",2
3000420035,"BROOKLYN",11201,"16",4
3000420035,"BROOKLYN",11201,"17",2
3000420036,"BROOKLYN",11201,"16",1
3000420037,"BROOKLYN",11201,"16",1
3000420038,"BROOKLYN",11201,"16",1
3000430024,"BROOKLYN",11201,"20",1
3000440024,"BROOKLYN",11201,"17",1
3000440027,"BROOKLYN",11201,"17",1
3000510025,"BROOKLYN",11201,"20",2
3000517502,"BROOKLYN",11201,"21",1
3000527501,"BROOKLYN",11201,"14",1
3000537501,"BROOKLYN",11201,"17",1
3000537501,"BROOKLYN",11201,"18",1
3000550001,"BROOKLYN",11201,"19",2
3000560037,"BROOKLYN",11201,"21",1
3000660004,"BROOKLYN",11201,"14",1
3000660004,"BROOKLYN",11201,"15",1
3000680001,"BROOKLYN",11201,"15",1
3000680001,"BROOKLYN",11201,"16",1
3000680001,"BROOKLYN",11201,"18",2
3000680001,"BROOKLYN",11201,"20",1
3000680001,"BROOKLYN",11201,"21",1
3000710001,"BROOKLYN",11201,"16",3
3000710001,"BROOKLYN",11201,"17",5
3000710001,"BROOKLYN",11201,"18",1
3000710001,"BROOKLYN",11201,"19",1
3000710001,"BROOKLYN",11201,"20",3
3000850100,"BROOKLYN",11201,"15",1
3000860011,"BROOKLYN",11201,"16",1
3000860011,"BROOKLYN",11201,"18",1
3000867501,"BROOKLYN",11201,"16",1
3000900001,"BROOKLYN",11201,"15",1
3000900001,"BROOKLYN",11201,"19",1
3000900001,"BROOKLYN",11201,"20",5
3000900001,"BROOKLYN",11201,"21",1
3000900050,"BROOKLYN",11201,"20",1
3000900050,"BROOKLYN",11201,"21",1
3001070047,"BROOKLYN",11201,"15",2
3001180006,"BROOKLYN",11201,"14",1
3001190001,"BROOKLYN",11201,"19",1
3001210003,"BROOKLYN",11201,"20",1
3001210003,"BROOKLYN",11201,"21",1
3001210014,"BROOKLYN",11201,"19",5
3001210014,"BROOKLYN",11201,"20",3
3001210014,"BROOKLYN",11201,"21",9
3001210015,"BROOKLYN",11201,"21",1
