"BBL","Borough","Incident Zip","Year","count"
5000010055,"STATEN ISLAND",10301,"16",1
5000010250,"STATEN ISLAND",10301,"20",1
5000017502,"STATEN ISLAND",10301,"18",1
5000040001,"STATEN ISLAND",10301,"14",1
5000050039,"STATEN ISLAND",10301,"14",1
5000050039,"STATEN ISLAND",10301,"15",1
5000050039,"STATEN ISLAND",10301,"21",1
5000050057,"STATEN ISLAND",10301,"21",1
5000050065,"STATEN ISLAND",10301,"17",1
5000050065,"STATEN ISLAND",10301,"20",2
5000050071,"STATEN ISLAND",10301,"20",4
5000050074,"STATEN ISLAND",10301,"20",3
5000050074,"STATEN ISLAND",10301,"21",1
5000050118,"STATEN ISLAND",10301,"20",2
5000050120,"STATEN ISLAND",10301,"20",2
5000060143,"STATEN ISLAND",10301,"20",1
5000070001,"STATEN ISLAND",10301,"19",1
5000070012,"STATEN ISLAND",10301,"19",1
5000070050,"STATEN ISLAND",10301,"20",1
5000110020,"STATEN ISLAND",10301,"19",1
5000140001,"STATEN ISLAND",10301,"16",1
5000150020,"STATEN ISLAND",10301,"14",1
5000150084,"STATEN ISLAND",10301,"14",1
5000150084,"STATEN ISLAND",10301,"20",1
5000150162,"STATEN ISLAND",10301,"20",1
5000160046,"STATEN ISLAND",10301,"21",1
5000160054,"STATEN ISLAND",10301,"16",1
5000160149,"STATEN ISLAND",10301,"18",1
5000170019,"STATEN ISLAND",10301,"17",1
5000170058,"STATEN ISLAND",10301,"17",3
5000170058,"STATEN ISLAND",10301,"20",2
5000170110,"STATEN ISLAND",10301,"20",1
5000180097,"STATEN ISLAND",10301,"17",1
5000180097,"STATEN ISLAND",10301,"18",2
5000190004,"STATEN ISLAND",10301,"20",1
5000190049,"STATEN ISLAND",10301,"17",1
5000200008,"STATEN ISLAND",10301,"14",1
5000200008,"STATEN ISLAND",10301,"19",1
5000200008,"STATEN ISLAND",10301,"20",2
5000200046,"STATEN ISLAND",10301,"20",1
5000200052,"STATEN ISLAND",10301,"20",1
5000210075,"STATEN ISLAND",10301,"19",3
5000210075,"STATEN ISLAND",10301,"21",1
5000210120,"STATEN ISLAND",10301,"19",1
5000220104,"STATEN ISLAND",10301,"17",1
5000230017,"STATEN ISLAND",10301,"18",1
5000230025,"STATEN ISLAND",10301,"20",2
5000230025,"STATEN ISLAND",10301,"21",1
5000230041,"STATEN ISLAND",10301,"21",1
5000230053,"STATEN ISLAND",10301,"16",2
5000230055,"STATEN ISLAND",10301,"14",1
5000230055,"STATEN ISLAND",10301,"16",1
5000230070,"STATEN ISLAND",10301,"20",1
5000230073,"STATEN ISLAND",10301,"21",1
5000240007,"STATEN ISLAND",10301,"18",2
5000240009,"STATEN ISLAND",10301,"20",1
5000240054,"STATEN ISLAND",10301,"21",1
5000240058,"STATEN ISLAND",10301,"17",1
5000240059,"STATEN ISLAND",10301,"21",1
5000240064,"STATEN ISLAND",10301,"17",1
5000240070,"STATEN ISLAND",10301,"16",1
5000240070,"STATEN ISLAND",10301,"21",1
5000250027,"STATEN ISLAND",10301,"18",7
5000250027,"STATEN ISLAND",10301,"19",4
5000250027,"STATEN ISLAND",10301,"20",2
5000250031,"STATEN ISLAND",10301,"17",1
5000250031,"STATEN ISLAND",10301,"19",1
5000250032,"STATEN ISLAND",10301,"19",3
5000250033,"STATEN ISLAND",10301,"18",1
5000250033,"STATEN ISLAND",10301,"19",12
5000250060,"STATEN ISLAND",10301,"18",1
5000250060,"STATEN ISLAND",10301,"20",1
5000250060,"STATEN ISLAND",10301,"21",2
5000250074,"STATEN ISLAND",10301,"20",1
5000270015,"STATEN ISLAND",10301,"18",1
5000280012,"STATEN ISLAND",10301,"21",1
5000280077,"STATEN ISLAND",10301,"20",1
5000300010,"STATEN ISLAND",10301,"21",1
5000300064,"STATEN ISLAND",10301,"19",1
