"numRats","Neighborhood","Year"
91116.6666666667,"PORT RICHMOND",2011
53130,"PORT RICHMOND",2012
31433.3333333333,"PORT RICHMOND",2013
45100,"PORT RICHMOND",2014
21426.0869565217,"PORT RICHMOND",2015
38850,"PORT RICHMOND",2016
35414.2857142857,"PORT RICHMOND",2017
39895.4545454545,"PORT RICHMOND",2018
37591.3043478261,"PORT RICHMOND",2019
49500,"PORT RICHMOND",2020
43764.7058823529,"PORT RICHMOND",2021
72708,"SOUTH SHORE",2011
59285.7142857143,"SOUTH SHORE",2012
82968.75,"SOUTH SHORE",2013
73923.5294117647,"SOUTH SHORE",2014
61138.8888888889,"SOUTH SHORE",2015
154031.25,"SOUTH SHORE",2016
85178.5714285714,"SOUTH SHORE",2017
70416.6666666667,"SOUTH SHORE",2018
107900,"SOUTH SHORE",2019
185712.5,"SOUTH SHORE",2020
59872.4137931034,"SOUTH SHORE",2021
69718.75,"STAPLETON AND ST. GEORGE",2011
50263.6363636364,"STAPLETON AND ST. GEORGE",2012
62181.8181818182,"STAPLETON AND ST. GEORGE",2013
51750,"STAPLETON AND ST. GEORGE",2014
53945.4545454545,"STAPLETON AND ST. GEORGE",2015
41676.9230769231,"STAPLETON AND ST. GEORGE",2016
88772.7272727273,"STAPLETON AND ST. GEORGE",2017
60176.4705882353,"STAPLETON AND ST. GEORGE",2018
47347.8260869565,"STAPLETON AND ST. GEORGE",2019
44785.7142857143,"STAPLETON AND ST. GEORGE",2020
68069.5652173913,"STAPLETON AND ST. GEORGE",2021
26800,"MID ISLAND",2011
65883.3333333333,"MID ISLAND",2012
56050,"MID ISLAND",2013
49400,"MID ISLAND",2014
55900,"MID ISLAND",2015
63066.6666666667,"MID ISLAND",2016
40700,"MID ISLAND",2017
25900,"MID ISLAND",2018
58100,"MID ISLAND",2019
16600,"MID ISLAND",2020
35400,"MID ISLAND",2021
