"Year","Zip","RatsN"
12,"10001",3612.57142857143
12,"10002",16617.8285714286
12,"10003",13727.7714285714
12,"10004",722.514285714286
12,"10005",0
12,"10006",1445.02857142857
12,"10007",2890.05714285714
12,"10009",20952.9142857143
12,"10010",3973.82857142857
12,"10011",9392.68571428571
12,"10012",5057.6
12,"10013",10115.2
12,"10014",14450.2857142857
12,"10016",6502.62857142857
12,"10017",1445.02857142857
12,"10018",4335.08571428571
12,"10019",7225.14285714286
12,"10021",6141.37142857143
12,"10022",5780.11428571429
12,"10023",12282.7428571429
12,"10024",22759.2
12,"10025",26371.7714285714
12,"10026",18424.1142857143
12,"10027",31790.6285714286
12,"10028",7586.4
12,"10029",14089.0285714286
12,"10030",14811.5428571429
12,"10031",31068.1142857143
12,"10032",28178.0571428571
12,"10033",15534.0571428571
12,"10034",14450.2857142857
12,"10035",13727.7714285714
12,"10036",10115.2
12,"10037",4335.08571428571
12,"10038",5057.6
12,"10039",6502.62857142857
12,"10040",10115.2
12,"10065",6141.37142857143
12,"10069",0
12,"10075",13366.5142857143
12,"10128",15895.3142857143
12,"10162",361.257142857143
12,"10280",1083.77142857143
12,"10301",10115.2
12,"10302",7947.65714285714
12,"10303",8670.17142857143
12,"10304",10476.4571428571
12,"10305",11198.9714285714
12,"10306",15172.8
12,"10307",3251.31428571429
12,"10308",7586.4
12,"10309",11921.4857142857
12,"10310",7947.65714285714
12,"10312",17701.6
12,"10314",22036.6857142857
12,"10451",16979.0857142857
12,"10452",23842.9714285714
12,"10453",27455.5428571429
12,"10454",8670.17142857143
12,"10455",15895.3142857143
12,"10456",46963.4285714286
12,"10457",41905.8285714286
12,"10458",40822.0571428571
12,"10459",26733.0285714286
12,"10460",19146.6285714286
12,"10461",12282.7428571429
12,"10462",14811.5428571429
12,"10463",13727.7714285714
12,"10464",361.257142857143
12,"10465",9392.68571428571
12,"10466",19146.6285714286
12,"10467",41905.8285714286
12,"10468",22397.9428571429
12,"10469",24926.7428571429
12,"10470",4696.34285714286
12,"10471",1083.77142857143
12,"10472",32513.1428571429
12,"10473",10837.7142857143
12,"10474",5780.11428571429
12,"10475",3973.82857142857
12,"11001",722.514285714286
12,"11004",361.257142857143
12,"11101",12644
12,"11102",4335.08571428571
12,"11103",8670.17142857143
12,"11104",5057.6
12,"11105",8308.91428571429
12,"11106",3612.57142857143
12,"11201",12282.7428571429
12,"11203",29261.8285714286
12,"11204",5418.85714285714
12,"11205",13005.2571428571
12,"11206",30345.6
12,"11207",38654.5142857143
12,"11208",28178.0571428571
12,"11209",6502.62857142857
12,"11210",11560.2285714286
12,"11211",30706.8571428571
12,"11212",26371.7714285714
12,"11213",36125.7142857143
12,"11214",13005.2571428571
12,"11215",27094.2857142857
12,"11216",54549.8285714286
12,"11217",32513.1428571429
12,"11218",11921.4857142857
12,"11219",13005.2571428571
12,"11220",13005.2571428571
12,"11221",74418.9714285714
12,"11222",22036.6857142857
12,"11223",15172.8
12,"11224",3973.82857142857
12,"11225",21314.1714285714
12,"11226",24926.7428571429
12,"11228",3973.82857142857
12,"11229",10837.7142857143
12,"11230",11198.9714285714
12,"11231",6863.88571428571
12,"11232",6502.62857142857
12,"11233",40460.8
12,"11234",12282.7428571429
12,"11235",13727.7714285714
12,"11236",21675.4285714286
12,"11237",33596.9142857143
12,"11238",46240.9142857143
12,"11249",1445.02857142857
12,"11354",2528.8
12,"11355",4696.34285714286
12,"11356",2890.05714285714
12,"11357",6863.88571428571
12,"11358",5057.6
12,"11360",722.514285714286
12,"11361",722.514285714286
12,"11362",1083.77142857143
12,"11363",361.257142857143
12,"11364",3251.31428571429
12,"11365",1445.02857142857
12,"11366",361.257142857143
12,"11367",2890.05714285714
12,"11368",10476.4571428571
12,"11369",4696.34285714286
12,"11370",5418.85714285714
12,"11372",5780.11428571429
12,"11373",12282.7428571429
12,"11374",3973.82857142857
12,"11375",7225.14285714286
12,"11377",12282.7428571429
12,"11378",11560.2285714286
12,"11379",9753.94285714286
12,"11385",38293.2571428571
12,"11411",3612.57142857143
12,"11412",13727.7714285714
12,"11413",7586.4
12,"11414",3973.82857142857
12,"11415",361.257142857143
12,"11416",4696.34285714286
12,"11417",6863.88571428571
12,"11418",6141.37142857143
12,"11419",8670.17142857143
12,"11420",7225.14285714286
12,"11421",6141.37142857143
12,"11422",4696.34285714286
12,"11423",7225.14285714286
12,"11426",2528.8
12,"11427",2528.8
12,"11428",2890.05714285714
12,"11429",6141.37142857143
12,"11432",11560.2285714286
12,"11433",15895.3142857143
12,"11434",17340.3428571429
12,"11435",13727.7714285714
12,"11436",9392.68571428571
12,"11691",10837.7142857143
12,"11692",3251.31428571429
12,"11693",2528.8
12,"11694",1083.77142857143
