Year,Zip,RatsN
20,10000,0
20,10001,8900
20,10002,19200
20,10003,14500
20,10004,1800
20,10005,1200
20,10006,1200
20,10007,4400
20,10009,18900
20,10010,6200
20,10011,15400
20,10012,13000
20,10013,15700
20,10014,11200
20,10016,8900
20,10017,2100
20,10018,4700
20,10019,10400
20,10021,3600
20,10022,6800
20,10023,21300
20,10024,42000
20,10025,39300
20,10026,33700
20,10027,35200
20,10028,15400
20,10029,28100
20,10030,24300
20,10031,25400
20,10032,21600
20,10033,14800
20,10034,16300
20,10035,22800
20,10036,8000
20,10037,9800
20,10038,4100
20,10039,8300
20,10040,6800
20,10044,0
20,10065,7700
20,10069,600
20,10075,8000
20,10128,9800
20,10280,600
20,10282,900
20,10301,17500
20,10302,8600
20,10303,9500
20,10304,14500
20,10305,10400
20,10306,16300
20,10307,900
20,10308,5600
20,10309,4100
20,10310,16300
20,10312,17200
20,10314,20100
20,10451,14800
20,10452,18900
20,10453,27800
20,10454,8600
20,10455,20700
20,10456,35800
20,10457,28400
20,10458,31100
20,10459,24900
20,10460,24900
20,10461,10100
20,10462,17200
20,10463,21300
20,10464,300
20,10465,7400
20,10466,16600
20,10467,38800
20,10468,21900
20,10469,21600
20,10470,5900
20,10471,3600
20,10472,34000
20,10473,10900
20,10474,6200
20,10475,1200
20,11001,1200
20,11004,900
20,11040,300
20,11101,18300
20,11102,5300
20,11103,10700
20,11104,11800
20,11105,5000
20,11106,13300
20,11201,19200
20,11203,23100
20,11204,4400
20,11205,30200
20,11206,40200
20,11207,52100
20,11208,26300
20,11209,11800
20,11210,6800
20,11211,41700
20,11212,26000
20,11213,34900
20,11214,12100
20,11215,53000
20,11216,79600
20,11217,31400
20,11218,22500
20,11219,15400
20,11220,20400
20,11221,82500
20,11222,24600
20,11223,11800
20,11224,9500
20,11225,25700
20,11226,42600
20,11228,5900
20,11229,8900
20,11230,13900
20,11231,15700
20,11232,9200
20,11233,65100
20,11234,15100
20,11235,21000
20,11236,16900
20,11237,40800
20,11238,71000
20,11239,1200
20,11249,11200
20,11354,7100
20,11355,8000
20,11356,4700
20,11357,7400
20,11358,5300
20,11360,2100
20,11361,2400
20,11362,1800
20,11363,0
20,11364,900
20,11365,4100
20,11366,1800
20,11367,2700
20,11368,19800
20,11369,8000
20,11370,5000
20,11372,11500
20,11373,20100
20,11374,7100
20,11375,5000
20,11377,32800
20,11378,10100
20,11379,10400
20,11385,39300
20,11411,1500
20,11412,5600
20,11413,7100
20,11414,3600
20,11415,3000
20,11416,4400
20,11417,13600
20,11418,7400
20,11419,10700
20,11420,10400
20,11421,3800
20,11422,2100
20,11423,5000
20,11426,2100
20,11427,2100
20,11428,2700
20,11429,5300
20,11430,0
20,11432,11500
20,11433,15100
20,11434,14200
20,11435,11800
20,11436,5300
20,11691,8900
20,11692,600
20,11693,300
20,11694,1500
20,11695,0
20,11697,0
20,12345,0
