Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
55824MM,NY,COM,8580190990,07/11/2022,10:43A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOUkdzMVRVRTlQUT09&locationName=_____________________)
87077NC,NY,COM,8800308739,07/11/2022,10:07A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwMUVUWGRQUkdONlQxRTlQUT09&locationName=_____________________)
LWG4154,PA,PAS,8823232624,07/11/2022,12:33P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMTZTWHBOYWxsNVRrRTlQUT09&locationName=_____________________)
HFV5242,NY,PAS,8827084435,07/11/2022,11:34A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,075,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVNTZRVFJPUkZGNlRsRTlQUT09&locationName=_____________________)
KWR1902,NY,PAS,8872944351,07/11/2022,12:05P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMXFhekJPUkUweFRWRTlQUT09&locationName=_____________________)
KHA5169,NY,PAS,8884278582,07/11/2022,05:30A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNUVTVE5QUkZVMFRXYzlQUT09&locationName=_____________________)
HLD4459,NY,PAS,8888693518,07/11/2022,08:34A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FOUVXVFZOZWxWNFQwRTlQUT09&locationName=_____________________)
JKF3378,NY,PAS,8905337120,07/11/2022,08:08A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNVVUWHBPZWtWNVRVRTlQUT09&locationName=_____________________)
97354,NY,MED,8916610187,07/11/2022,08:14A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNXFXWGhOUkVVMFRuYzlQUT09&locationName=_____________________)
P77NRK,NJ,PAS,8948747447,07/11/2022,01:37P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,020,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOUVZekJPZWxFd1RuYzlQUT09&locationName=_____________________)
KNF4456,NY,PAS,8957491946,07/11/2022,02:59P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNTZVVFZOVkdzd1RtYzlQUT09&locationName=_____________________)
77111MN,NY,COM,8958074887,07/11/2022,12:24P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,049,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOUVRVE5PUkdjMFRuYzlQUT09&locationName=_____________________)
KUH9258,NY,OMS,8969602148,07/11/2022,07:13A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVXWGROYWtVd1QwRTlQUT09&locationName=_____________________)
KXB4844,NY,PAS,8979926868,07/11/2022,12:55P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOVVhM2xPYW1jeVQwRTlQUT09&locationName=_____________________)
FRP6002,NY,PAS,8979926893,07/11/2022,01:29P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOVVhM2xPYW1jMVRYYzlQUT09&locationName=_____________________)
ZTL42F,NJ,PAS,8982620291,07/11/2022,10:56A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFXWGxOUkVrMVRWRTlQUT09&locationName=_____________________)
KLM4160,NY,PAS,8982620370,07/11/2022,12:55P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFXWGxOUkUwelRVRTlQUT09&locationName=_____________________)
JCF2290,NY,PAS,8985926330,07/11/2022,02:03P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNVVhM2xPYWsxNlRVRTlQUT09&locationName=_____________________)
