Year,Zip,RatsN
16,10001,8400
16,10002,19500
16,10003,12000
16,10004,0
16,10005,0
16,10006,500
16,10007,1900
16,10009,20000
16,10010,6300
16,10011,10300
16,10012,8500
16,10013,23100
16,10014,27100
16,10016,25200
16,10017,0
16,10018,3300
16,10019,8700
16,10021,9700
16,10022,25200
16,10023,13200
16,10024,26400
16,10025,18600
16,10026,22500
16,10027,17500
16,10028,18400
16,10029,18500
16,10030,11200
16,10031,17900
16,10032,13900
16,10033,11300
16,10034,5100
16,10035,10600
16,10036,6700
16,10037,3000
16,10038,2300
16,10039,5300
16,10040,8800
16,10044,100
16,10065,24000
16,10069,0
16,10075,0
16,10121,0
16,10128,25500
16,10301,0
16,10302,20200
16,10303,5400
16,10304,26400
16,10305,11300
16,10306,0
16,10307,3600
16,10308,15500
16,10309,0
16,10310,0
16,10312,23500
16,10314,63700
16,10451,8300
16,10452,16100
16,10453,17100
16,10454,13800
16,10455,14000
16,10456,20500
16,10457,23400
16,10458,26200
16,10459,20000
16,10460,15100
16,10461,14600
16,10462,11300
16,10463,12000
16,10464,0
16,10465,16100
16,10466,41200
16,10467,35500
16,10468,15100
16,10469,58500
16,10470,8000
16,10471,4800
16,10472,26300
16,10473,7500
16,10474,4800
16,10475,0
16,11001,0
16,11004,0
16,11040,0
16,11101,18800
16,11102,0
16,11103,16900
16,11104,7200
16,11105,12000
16,11106,6900
16,11201,52800
16,11203,42300
16,11204,4500
16,11205,21900
16,11206,36100
16,11207,60200
16,11208,50400
16,11209,0
16,11210,12400
16,11211,34600
16,11212,23700
16,11213,26900
16,11214,4800
16,11215,45300
16,11216,40400
16,11217,50200
16,11218,37500
16,11219,9500
16,11220,19200
16,11221,98500
16,11222,16100
16,11223,36300
16,11224,8100
16,11225,24000
16,11226,51200
16,11228,4200
16,11229,0
16,11230,0
16,11231,12200
16,11232,13000
16,11233,77000
16,11234,44700
16,11235,41500
16,11236,119600
16,11237,37600
16,11238,42200
16,11249,0
16,11354,7500
16,11355,0
16,11356,2500
16,11357,19000
16,11358,6300
16,11360,0
16,11361,0
16,11362,0
16,11363,0
16,11364,0
16,11365,1500
16,11366,500
16,11367,1400
16,11368,50600
16,11369,0
16,11370,0
16,11372,25900
16,11373,72000
16,11374,6300
16,11375,0
16,11377,124200
16,11378,15000
16,11379,17500
16,11385,73200
16,11411,0
16,11412,13500
16,11413,12100
16,11414,2600
16,11415,2400
16,11416,5000
16,11417,33800
16,11418,10500
16,11419,46400
16,11420,12300
16,11421,0
16,11422,4200
16,11423,7800
16,11426,2800
16,11427,0
16,11428,0
16,11429,13200
16,11432,14100
16,11433,32300
16,11434,21500
16,11435,39000
16,11436,15200
16,11691,8900
16,11692,2000
16,11693,0
16,11694,0
