"Year","BBL","zip","count"
"2010",1000080044,10004,1
"2010",1000160180,10007,1
"2010",1000160210,10282,1
"2010",1000167517,10280,3
"2010",1000210006,10006,1
"2010",1000220024,10004,1
"2010",1000290023,10004,1
"2010",1000940001,10038,5
"2010",1000940025,10038,2
"2010",1000950027,10038,1
"2010",1000960005,10038,1
"2010",1001000026,10038,1
"2010",1001010001,10038,1
"2010",1001190001,10038,4
"2010",1001220001,10007,1
"2010",1001240024,10007,1
"2010",1001330012,10007,1
"2010",1001337506,10007,1
"2010",1001340011,10007,1
"2010",1001420025,10013,1
"2010",1001430019,10013,1
"2010",1001450015,10013,1
"2010",1001490003,10007,1
"2010",1001490007,10007,1
"2010",1001550001,10007,1
"2010",1001600021,10007,2
"2010",1001620035,10038,4
"2010",1001630025,10013,1
"2010",1001640009,10013,1
"2010",1001670001,10013,4
"2010",1001690010,10013,1
"2010",1001740028,10013,1
"2010",1001740031,10013,1
"2010",1001887502,10013,1
"2010",1001990002,10013,1
"2010",1002000017,10013,1
"2010",1002060022,10013,1
"2010",1002147503,10013,3
"2010",1002240024,10013,1
"2010",1002240027,10013,1
"2010",1002310036,10013,2
"2010",1002340001,10013,1
"2010",1002360021,10013,1
"2010",1002530001,10002,1
"2010",1002710044,10002,1
"2010",1002760010,10002,2
"2010",1002770032,10002,1
"2010",1002770049,10038,2
"2010",1002810001,10038,1
"2010",1002830036,10002,1
"2010",1002830055,10002,1
"2010",1002837501,10002,2
"2010",1002850029,10002,1
"2010",1002970009,10002,1
"2010",1002970022,10002,1
"2010",1002970028,10002,1
"2010",1003030010,10002,1
"2010",1003060031,10002,2
"2010",1003210001,10002,2
"2010",1003230001,10002,11
"2010",1003360017,10002,4
"2010",1003410001,10002,1
"2010",1003450020,10002,6
"2010",1003460040,10002,1
"2010",1003460095,10002,2
"2010",1003490027,10002,1
"2010",1003500039,10002,1
"2010",1003500041,10002,1
"2010",1003500050,10002,1
"2010",1003500080,10002,2
"2010",1003530069,10002,2
"2010",1003540022,10002,2
"2010",1003560001,10002,1
"2010",1003560001,10009,1
"2010",1003670001,10009,1
"2010",1003720010,10009,2
"2010",1003720012,10009,1
"2010",1003720014,10009,1
"2010",1003720018,10009,1
"2010",1003720019,10009,1
"2010",1003720029,10009,1
"2010",1003720064,10009,2
"2010",1003730060,10009,1
"2010",1003740006,10009,7
"2010",1003740008,10009,2
"2010",1003740062,10009,1
"2010",1003750063,10009,1
"2010",1003760022,10009,1
"2010",1003760132,10009,1
"2010",1003790032,10009,1
"2010",1003820100,10009,1
"2010",1003840021,10009,4
"2010",1003840026,10009,1
"2010",1003840027,10009,2
"2010",1003870037,10009,2
"2010",1003870047,10009,1
"2010",1003900009,10009,1
"2010",1003900057,10009,1
"2010",1003917501,10009,3
"2010",1003920006,10009,1
"2010",1003920022,10009,2
"2010",1003920037,10009,1
"2010",1003930014,10009,3
"2010",1003930016,10009,1
"2010",1003930049,10009,1
"2010",1003930056,10009,7
"2010",1003930059,10009,1
"2010",1003940044,10009,1
"2010",1003950001,10009,1
"2010",1003950003,10009,3
"2010",1003980055,10009,1
"2010",1004000001,10009,1
"2010",1004000044,10009,3
"2010",1004040038,10009,1
"2010",1004040043,10009,1
"2010",1004040045,10009,2
"2010",1004050042,10009,1
"2010",1004050045,10009,1
"2010",1004060014,10009,1
"2010",1004080001,10002,2
"2010",1004150078,10002,1
"2010",1004230016,10002,1
"2010",1004250019,10002,1
"2010",1004250035,10002,1
"2010",1004250037,10002,1
"2010",1004260020,10002,1
"2010",1004270001,10002,1
"2010",1004270002,10002,1
"2010",1004290002,10009,1
"2010",1004290005,10009,2
"2010",1004290020,10009,1
"2010",1004290021,10009,5
"2010",1004300001,10009,2
"2010",1004340136,10009,1
"2010",1004350055,10009,3
"2010",1004360012,10009,1
"2010",1004360020,10009,1
"2010",1004380040,10009,1
"2010",1004400021,10009,1
"2010",1004410019,10009,1
"2010",1004420001,10003,1
"2010",1004420011,10003,3
"2010",1004430030,10003,1
"2010",1004450058,10003,2
"2010",1004460013,10003,4
"2010",1004460020,10003,4
"2010",1004470046,10003,1
"2010",1004470047,10003,3
"2010",1004470055,10003,1
"2010",1004490031,10003,1
"2010",1004490051,10003,1
"2010",1004500010,10003,1
"2010",1004500011,10003,1
"2010",1004500018,10003,3
"2010",1004510054,10003,1
"2010",1004510137,10003,1
"2010",1004520039,10003,1
"2010",1004520052,10003,1
"2010",1004540032,10003,2
"2010",1004550001,10003,1
"2010",1004570033,10003,1
"2010",1004580045,10003,1
"2010",1004590045,10003,5
"2010",1004590046,10003,1
"2010",1004610011,10003,1
"2010",1004640019,10003,1
"2010",1004650010,10003,1
"2010",1004650032,10003,1
"2010",1004650043,10003,1
"2010",1004650050,10003,1
"2010",1004657501,10003,1
"2010",1004670049,10003,1
"2010",1004680020,10003,1
"2010",1004680027,10003,1
"2010",1004700009,10013,2
"2010",1004730045,10013,1
"2010",1004740030,10013,1
"2010",1004760042,10013,1
"2010",1004780012,10012,1
"2010",1004790019,10012,1
"2010",1004810009,10012,2
"2010",1004810011,10012,3
"2010",1004850029,10012,1
"2010",1004860026,10012,1
"2010",1004880010,10012,1
"2010",1004890021,10012,2
"2010",1004900019,10013,1
"2010",1004940006,10012,1
"2010",1004940029,10012,1
"2010",1004940030,10012,4
"2010",1004940031,10012,2
"2010",1004947501,10012,1
"2010",1004970012,10012,1
"2010",1005020006,10012,1
"2010",1005110015,10012,1
"2010",1005170042,10012,1
"2010",1005180036,10012,1
"2010",1005190028,10014,1
"2010",1005190030,10014,1
"2010",1005190044,10014,1
"2010",1005207502,10012,1
"2010",1005230032,10012,1
"2010",1005270004,10014,1
"2010",1005290030,10012,1
"2010",1005300019,10012,2
"2010",1005300032,10012,1
"2010",1005300033,10012,1
"2010",1005310004,10012,1
"2010",1005310037,10003,1
"2010",1005400008,10012,1
"2010",1005430045,10012,1
"2010",1005520048,10011,1
"2010",1005540035,10003,2
"2010",1005560015,10003,1
"2010",1005590022,10003,1
"2010",1005610005,10003,1
"2010",1005640045,10003,1
"2010",1005680024,10003,1
"2010",1005720030,10011,1
"2010",1005780047,10013,2
"2010",1005780070,10013,1
"2010",1005790002,10013,3
"2010",1005790005,10013,1
"2010",1005800015,10014,1
"2010",1005830024,10014,1
"2010",1005830040,10014,3
"2010",1005830042,10014,2
"2010",1005850046,10014,1
"2010",1005860020,10014,4
"2010",1005870046,10014,1
"2010",1005870055,10014,1
"2010",1005880017,10014,1
"2010",1005880045,10014,1
"2010",1005900028,10014,1
"2010",1005900077,10014,1
"2010",1005910049,10014,3
"2010",1005920052,10014,1
"2010",1005920054,10014,2
"2010",1005940041,10013,1
"2010",1005940047,10013,1
"2010",1005970037,10013,3
"2010",1005970051,10014,1
"2010",1005977501,10013,1
"2010",1006030065,10014,2
"2010",1006040003,10014,1
"2010",1006060041,10011,1
"2010",1006080039,10011,1
"2010",1006080060,10011,1
"2010",1006090062,10011,1
"2010",1006100022,10014,1
"2010",1006107501,10014,1
"2010",1006110070,10014,1
"2010",1006120038,10014,1
"2010",1006130040,10014,1
"2010",1006140061,10014,2
"2010",1006150064,10014,1
"2010",1006160142,10014,1
"2010",1006170001,10011,1
"2010",1006180033,10011,1
"2010",1006200065,10014,1
"2010",1006200068,10014,4
"2010",1006290013,10014,1
"2010",1006310016,10014,1
"2010",1006320056,10014,1
"2010",1006330038,10014,1
"2010",1006330051,10014,1
"2010",1006330060,10014,3
"2010",1006350042,10014,1
"2010",1006420001,10014,1
"2010",1006870029,10011,1
"2010",1006950001,10011,1
"2010",1007000030,10001,1
"2010",1007150001,10011,1
"2010",1007160066,10011,1
"2010",1007190049,10011,1
"2010",1007230001,10001,1
"2010",1007240082,10001,1
"2010",1007330044,10018,1
"2010",1007350009,10018,1
"2010",1007350031,10018,1
"2010",1007380023,10014,1
"2010",1007610028,10018,1
"2010",1007640037,10011,1
"2010",1007650065,10011,1
"2010",1007660032,10011,1
"2010",1007660047,10011,1
"2010",1007660071,10011,1
"2010",1007660077,10011,1
"2010",1007667501,10011,1
"2010",1007667502,10011,1
"2010",1007697503,10011,1
"2010",1007700019,10011,1
"2010",1007700065,10011,2
"2010",1007700066,10011,1
"2010",1007700070,10011,1
"2010",1007710014,10011,1
"2010",1007710072,10011,1
"2010",1007740084,10001,1
"2010",1007760010,10001,1
"2010",1007830070,10001,1
"2010",1007840060,10001,1
"2010",1007900014,10011,1
"2010",1007950071,10011,2
"2010",1007960007,10011,2
"2010",1007960022,10011,1
"2010",1007970080,10011,1
"2010",1007980010,10011,1
"2010",1007987502,10011,1
"2010",1007990028,10011,1
"2010",1008110021,10001,1
"2010",1008130038,10018,1
"2010",1008190056,10011,1
"2010",1008220019,10011,1
"2010",1008320062,10001,1
"2010",1008510020,10010,1
"2010",1008570007,10016,1
"2010",1008590031,10016,1
"2010",1008600069,10016,1
"2010",1008630044,10016,1
"2010",1008640030,10016,1
"2010",1008650024,10016,2
"2010",1008740061,10003,1
"2010",1008780046,10010,1
"2010",1008810061,10010,1
"2010",1008820018,10010,2
"2010",1008820021,10016,1
"2010",1008830019,10016,1
"2010",1008860075,10016,1
"2010",1008870087,10016,1
"2010",1008880041,10016,1
"2010",1008910050,10016,2
"2010",1008960006,10003,1
"2010",1008980010,10003,1
"2010",1008990024,10003,1
"2010",1009000027,10003,2
"2010",1009010021,10003,3
"2010",1009040024,10010,1
"2010",1009060014,10010,1
"2010",1009080017,10016,2
"2010",1009090001,10016,2
"2010",1009090011,10016,1
"2010",1009090012,10016,3
"2010",1009090013,10016,2
"2010",1009130023,10016,2
"2010",1009160022,10016,1
"2010",1009210039,10003,3
"2010",1009210040,10003,1
"2010",1009210041,10003,1
"2010",1009210045,10003,1
"2010",1009210049,10003,1
"2010",1009300001,10010,1
"2010",1009310001,10010,1
"2010",1009310009,10010,2
"2010",1009340001,10016,1
"2010",1009367501,10016,1
"2010",1009430001,10016,1
"2010",1009780001,10010,1
"2010",1009940054,10036,1
"2010",1009970001,10036,1
"2010",1010180061,10036,1
"2010",1010200053,10019,1
"2010",1010250051,10019,1
"2010",1010260049,10019,2
"2010",1010290019,10019,1
"2010",1010300025,10019,1
"2010",1010340019,10036,1
"2010",1010340046,10036,1
"2010",1010340103,10036,1
"2010",1010350060,10036,1
"2010",1010360005,10036,3
"2010",1010380039,10036,1
"2010",1010380043,10036,1
"2010",1010380058,10036,1
"2010",1010390046,10019,2
"2010",1010390050,10019,1
"2010",1010390052,10019,3
"2010",1010390054,10019,1
"2010",1010427502,10019,2
"2010",1010450054,10019,2
"2010",1010550001,10036,1
"2010",1010550020,10036,1
"2010",1010550042,10036,1
"2010",1010550055,10036,4
"2010",1010550056,10036,1
"2010",1010550057,10036,3
"2010",1010550058,10036,4
"2010",1010557501,10036,2
"2010",1010560058,10036,1
"2010",1010560059,10036,1
"2010",1010570025,10036,1
"2010",1010580008,10036,1
"2010",1010580010,10036,1
"2010",1010580022,10036,1
"2010",1010580030,10019,1
"2010",1010580039,10019,1
"2010",1010580051,10019,1
"2010",1010580058,10019,1
"2010",1010590054,10019,2
"2010",1010600055,10019,1
"2010",1010610023,10019,2
"2010",1010610033,10019,3
"2010",1010610046,10019,1
"2010",1010630029,10019,5
"2010",1010630030,10019,2
"2010",1010630033,10019,1
"2010",1010630054,10019,1
"2010",1010640013,10019,2
"2010",1010640014,10019,1
"2010",1010700020,10036,1
"2010",1010700029,10036,1
"2010",1010707501,10036,3
"2010",1010750047,10036,1
"2010",1010750051,10036,1
"2010",1010780008,10019,1
"2010",1010790029,10019,1
"2010",1010990043,10019,1
"2010",1011200011,10023,1
"2010",1011210006,10023,1
"2010",1011220004,10023,1
"2010",1011220037,10023,2
"2010",1011220040,10023,1
"2010",1011220046,10023,1
